ALT	Caption	Comments Count	Dimensions Height	Dimensions Width	Display URL	Comment	Hashtags/1	Hashtags/2	Hashtags/3	Hashtags/4	ID	Input URL	Is Sponsored	Latest Comments Id	Latest Comments Owner ID	Latest Comments Owner Profile Pic Url	Latest Comments Owner Username	Music Info Artist Name	Music Info Audio ID	Owner Username	Owner ID	Product Type	Location ID	Location Name	Timestamp
	"Behind every delicious bite is a family that’s been growing for 57 years. ❤️
 Watch our Haldiram’s family come together to celebrate the journey, the memories, and the magic of taste.
 Here’s to 57 years of love, laddoos & legacy! 
 
 #haldiramsrestaurant #57YearsOfHaldiramsNagpur #TasteOfTraditions"""	15	1137	640	https://instagram.fltn4-1.fna.fbcdn.net/v/t51.2885-15/490718090_18291879601223691_3415221615394884736_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fltn4-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QHKaoq0AR_jo_XQf13dtOVIealuW_nyAKzoINRsH9goVYiKa6HibRBmQG_pMt1ofyQ&_nc_ohc=ZhRFn42ENIgQ7kNvwFCQPpR&_nc_gid=zBpjxWKzlaPEXDOd0Kgzzg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfFvAjkeOaQbhVc50tr0VnZ7Ap9SnF_Mxam3Kidhdj0Hrg&oe=680BB429&_nc_sid=10d13b	हार्दिक बधाई	57YearsOfHaldiramsNagpur	TasteOfTraditions"			3612849261534684279	https://www.instagram.com/haldirams_nagpur?igsh=MWNpY3JtcXI1NG5zbQ==	FALSE	18511181251006082	64484058037	https://instagram.fltn4-1.fna.fbcdn.net/v/t51.2885-19/461921337_1229971488051212_2410347571102647118_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fltn4-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QHKaoq0AR_jo_XQf13dtOVIealuW_nyAKzoINRsH9goVYiKa6HibRBmQG_pMt1ofyQ&_nc_ohc=HhaQzyXGzq8Q7kNvwG5X_ab&_nc_gid=zBpjxWKzlaPEXDOd0Kgzzg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfFhtQ3VcTY3Pao-nvfb6TVYntINW4jT9WncIE7e89iK0Q&oe=680BCE43&_nc_sid=10d13b	moolchandchanderwar	haldirams_restaurants	2996166443877421	haldirams_restaurants	6716383690	clips			2025-04-17T15:58:00.000Z
	"How snacks makes me feel 
 .
 .
 .
 #Haldirams #HaldiramsNagpur #Trending #Sensations"	4	1136	640	https://instagram.fkul4-4.fna.fbcdn.net/v/t51.2885-15/489672107_674605891834235_6542061068161314710_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fkul4-4.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QHolpOHsSOWGo8aW6FN9LRomHEcwCwQ9WJIN8tGUYWsg8FOc5tCVDj7csP4CelBOQk&_nc_ohc=oJA_SAmDUncQ7kNvwHXbBdM&_nc_gid=sajdpzbGMFh1kCXCXqrf0Q&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfHOF6SFUDgPgZ6ggfKYNBXBGEEjCbD5yGVdD4c5vOz-tA&oe=680BB93C&_nc_sid=10d13b	Wow	HaldiramsNagpur	Trending	Sensations		3611785122130886264	https://www.instagram.com/haldirams_nagpur?igsh=MWNpY3JtcXI1NG5zbQ==	FALSE	18048053060092681	1410766837	https://instagram.fkul4-5.fna.fbcdn.net/v/t51.2885-19/432574846_913228053916652_2285777692524693786_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fkul4-5.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QHolpOHsSOWGo8aW6FN9LRomHEcwCwQ9WJIN8tGUYWsg8FOc5tCVDj7csP4CelBOQk&_nc_ohc=xvbet8BzkGIQ7kNvwHXHQhW&_nc_gid=sajdpzbGMFh1kCXCXqrf0Q&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfG9jRfqEVliKSDuEECrXfB0otlSdQs_Mk3E_3rL3oce1w&oe=680BAF7F&_nc_sid=10d13b	prakratikush	pranavi_manukonda	556028027513422	haldirams_nagpur	1460559443	clips	109524955741121	India	2025-04-16T04:39:44.000Z
Photo by Haldiram’s Nagpur in India. May be an image of poster and text that says 'HRP Haldiram's COSTE ASTE OF TRADITION NAGPUR Ca EHUURSDY 自 R am's Haldirea Haldiram መታግ'.	"Khushiyon ki memories par swaad ka mohar
 .
 .
 .
 #stampverse #Haldirams #haldiramsnagpur"	1	1349	1080	https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/491319889_18499347841015444_4253805852623463319_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QGlVa-RYRkTfLZwfMRxMIJQ63W3wPIYrtnZfu9qtfDWCTdenoIivdaW2XvkkGpnHwo_5HH2F_bchtwfk_fCYn1F&_nc_ohc=I01TwOAVM5kQ7kNvwFiXmop&_nc_gid=ZeXNe6kZ5EWvJ0XL37gxBw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfFp-LWBLbsqqbcKbYsZadzPheQoVYjfaS1RdMsoHQmLPA&oe=680BAA70&_nc_sid=10d13b	For 90 years Haldiram's is serving the Nation.	Haldirams	haldiramsnagpur			3613286000825992635	https://www.instagram.com/haldirams_nagpur?igsh=MWNpY3JtcXI1NG5zbQ==	FALSE	17986513577804829	1781387804	https://scontent-mia3-3.cdninstagram.com/v/t51.2885-19/461793139_573914698390090_1369853780546061423_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-mia3-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QGlVa-RYRkTfLZwfMRxMIJQ63W3wPIYrtnZfu9qtfDWCTdenoIivdaW2XvkkGpnHwo_5HH2F_bchtwfk_fCYn1F&_nc_ohc=y2yk08e1zKoQ7kNvwE0O55o&_nc_gid=ZeXNe6kZ5EWvJ0XL37gxBw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfEjJlLqrcjEPenb76eIawxa6UKalJKXdsidGc4w1exdbg&oe=680BB089&_nc_sid=10d13b	rameshjbhojwani			haldirams_nagpur	1460559443		109524955741121	India	2025-04-18T06:21:18.000Z
	"Aur bhujia ke saath aur gheri ho jaati hain
 .
 .
 .
 #haldirams #haldiramsnagpur #bhujia #chaiandbhujia #chaitime"	2	1136	640	https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/490195605_1623072355012926_5276206604476280497_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QHe3RyeHpfKUHM7UmezD0ptr-1VmopM5UslyWl0qyqYFuZ2s5_t6Sdw1cvlmvuMQW8&_nc_ohc=5zL_AFAD4NYQ7kNvwG_lUzK&_nc_gid=8syHkR9hnXcql2Bkz5LZyg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfEyV9S1Yx7TEjvsMmXB5M74KmGQfMk0KviuXZjr7hXuBQ&oe=680BE0B8&_nc_sid=10d13b	nice products	haldiramsnagpur	bhujia	chaiandbhujia	chaitime	3612850835729825286	https://www.instagram.com/haldirams_nagpur?igsh=MWNpY3JtcXI1NG5zbQ==	FALSE	18062271659022041	49299212848	https://scontent-mia3-3.cdninstagram.com/v/t51.2885-19/429331155_720107996587532_8841209748689106469_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-mia3-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QHe3RyeHpfKUHM7UmezD0ptr-1VmopM5UslyWl0qyqYFuZ2s5_t6Sdw1cvlmvuMQW8&_nc_ohc=pYJPoNAxAT0Q7kNvwHj9vR5&_nc_gid=8syHkR9hnXcql2Bkz5LZyg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfFn8yGFEgKH5zU-4VwiLL_-UUzIXtJH84shJ3kcGhFYLg&oe=680BBB8D&_nc_sid=10d13b	kamlesh_2385	its_mumbaiii	2472935649722473	haldirams_nagpur	1460559443	clips	109524955741121	India	2025-04-17T15:59:52.000Z
	"Swaad anusar, bhujia zaroori hai
 .
 .
 .
 #haldirams #haldiramsnagpur #bhujia #masterchef"	2	1136	640	https://instagram.fcps4-1.fna.fbcdn.net/v/t51.2885-15/491893713_1064358268868382_7503154751193530736_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fcps4-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QGOrrWmnkMPdUCNyN2LAZyLtqtO88jSHdFEwT3Vn0lIWSljxqUah_kkKyGaKY_pxbrnanSQ2F8WRQZKu_FGWIgH&_nc_ohc=nmjxP4tVONYQ7kNvwHicNtH&_nc_gid=s2317nfrV8lqN1XvFbjOyA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfFniz7vqXsMOTwxPAN2GYnUF7A7f1gpGvpHTSzvcJRxiw&oe=680BB2BE&_nc_sid=10d13b	my favorite aloo bhujiaa testy	haldiramsnagpur	bhujia	masterchef		3614916003343113278	https://www.instagram.com/haldirams_nagpur?igsh=MWNpY3JtcXI1NG5zbQ==	FALSE	18043310642439028	49299212848	https://instagram.fcps4-1.fna.fbcdn.net/v/t51.2885-19/429331155_720107996587532_8841209748689106469_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fcps4-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QGOrrWmnkMPdUCNyN2LAZyLtqtO88jSHdFEwT3Vn0lIWSljxqUah_kkKyGaKY_pxbrnanSQ2F8WRQZKu_FGWIgH&_nc_ohc=pYJPoNAxAT0Q7kNvwG8l5dg&_nc_gid=s2317nfrV8lqN1XvFbjOyA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfHl6jv5B-4QjS6xkinAjt3R0xT4xMJ0V7Ar_H6uIsy2fQ&oe=680BBB8D&_nc_sid=10d13b	kamlesh_2385	haldirams_nagpur	1221480699669735	haldirams_nagpur	1460559443	clips	109524955741121	India	2025-04-20T12:24:19.000Z
Photo by Haldiram’s Nagpur in India. May be a cartoon of poster and text that says 'HR Haldiram's NAGPUR R TASTE OF TRADITION බ Snac នទក VadE'.	"Swaad ka stamp, saalon saal!
 .
 .
 .
 #stampverse #Haldirams #haldiramsnagpur"	0	1349	1080	https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/489930196_18499520032015444_2558462884723636736_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QGuvKHYuOnhSspPd5246MyfTFKSWOrWXLYp1ao0ah8pCZe2ue6ecbxWYTQh3dX1CTA8UIJLUZ0IK05SqbtYk54l&_nc_ohc=GjgyRQaoKFUQ7kNvwGOUY9K&_nc_gid=oc2yEVjxbNdfvZnPVwTOzA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfFxHxQSbCukLl5DOuSN_zp6vKv_u3PEEGYvgLZxMs98uA&oe=680BB0FE&_nc_sid=10d13b		Haldirams	haldiramsnagpur			3614027502049490904	https://www.instagram.com/haldirams_nagpur?igsh=MWNpY3JtcXI1NG5zbQ==	FALSE							haldirams_nagpur	1460559443		109524955741121	India	2025-04-19T06:54:32.000Z
	"Celebrating 57 years of taste, tradition, and togetherness! Here's to our journey from Nagpur to every heart. 
 
 #haldirams #57YearsOfFlavor #haldiramsrestaurant ant"	17	1137	640	https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/491516371_18291868036223691_4918535857208699695_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QED6pvT632UPYB1iT4mrdDM2h5PooMYpema8EMmENPVvrxOKq7OYS3NpxazsP_WddEVL60o9s4cL7ID-9Ego2rq&_nc_ohc=8-QMyQxw6AwQ7kNvwEg55tZ&_nc_gid=Gpv7nGpUMF7ZNP6SvamOrg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfG00WfTUN0Wz0ezJckJlXb1dlgFr1RtVrFsHTWZfO_ELg&oe=680BD046&_nc_sid=10d13b	happy birthday haldirams	57YearsOfFlavor	haldiramsrestaurant			3612789759695317181	https://www.instagram.com/haldirams_nagpur?igsh=MWNpY3JtcXI1NG5zbQ==	FALSE	18338868832089851	49299212848	https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/429331155_720107996587532_8841209748689106469_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QED6pvT632UPYB1iT4mrdDM2h5PooMYpema8EMmENPVvrxOKq7OYS3NpxazsP_WddEVL60o9s4cL7ID-9Ego2rq&_nc_ohc=pYJPoNAxAT0Q7kNvwGHgRA9&_nc_gid=Gpv7nGpUMF7ZNP6SvamOrg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfHohe1dzX-PpGm3Xm0iaPlKPE_VyDot_Z7oPasvl9D77g&oe=680BBB8D&_nc_sid=10d13b	kamlesh_2385	haldirams_restaurants	3621678981470661	haldirams_restaurants	6716383690	clips			2025-04-17T14:01:56.000Z
	"AAMen!
 .
 .
 .
 #Haldirams #HaldiramsNagpur #Aam #Aamseason #mango #mangoseason"	0	1136	640	https://scontent-ord5-3.cdninstagram.com/v/t51.2885-15/489874925_1790665068167302_8012297500749911035_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QHsywQ9_D-2nkRCPdVLTtnPR7YHdMzdq5aalwdybtAtfQpqdUpUcpSc1WibdfhqyDg&_nc_ohc=pRLHtnSoYEIQ7kNvwGWfOcD&_nc_gid=g-Z2b1w3Z_CkBrB8OpPl6A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfHnYVFq6YwseOW6aQFNj2p-V7xgr6azZ3JxOinoqYoRZw&oe=680BBA81&_nc_sid=10d13b		HaldiramsNagpur	Aam	Aamseason	mango	3610651190089945439	https://www.instagram.com/haldirams_nagpur?igsh=MWNpY3JtcXI1NG5zbQ==	FALSE					haldirams_nagpur	1202739828055766	haldirams_nagpur	1460559443	clips	109524955741121	India	2025-04-14T15:07:14.000Z
Photo by Haldiram’s Nagpur in India. Возможно, это изображение текст.	"Stampverse mein swaad bhara swagat
 .
 .
 .
 #stampverse #Haldirams #haldiramsnagpur"	3	1349	1080	https://instagram.fakx4-1.fna.fbcdn.net/v/t51.2885-15/491463331_18499520212015444_5095343383689124320_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fakx4-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QEvy6jqqF93K9v_znTYx22_e57iMj0kjIyYXydzSP_MWDuZnKsW_5IZdA2hhvo2IoE&_nc_ohc=cJ7V4T7xWkAQ7kNvwE_8lnH&_nc_gid=MvlfK-LyCyCRMgO6gwKq0g&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfFjbNuUX46y3C7sM6AIWsfKhLNSV-6o-QLjVAOtcSTG9w&oe=680BD67E&_nc_sid=10d13b	❤️	Haldirams	haldiramsnagpur			3614027905516272108	https://www.instagram.com/haldirams_nagpur?igsh=MWNpY3JtcXI1NG5zbQ==	FALSE	17893709742101692	72411277134	https://instagram.fakx4-2.fna.fbcdn.net/v/t51.2885-19/482546460_2464448617245391_2484688892164220329_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fakx4-2.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QEvy6jqqF93K9v_znTYx22_e57iMj0kjIyYXydzSP_MWDuZnKsW_5IZdA2hhvo2IoE&_nc_ohc=RQBroNtYEyIQ7kNvwH38Y_S&_nc_gid=MvlfK-LyCyCRMgO6gwKq0g&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfFxKGQfIHiz-2x5eG91HqJ4umHs9phFD-PTFwGBNQXCmQ&oe=680BDD1C&_nc_sid=10d13b	aradhyamedia			haldirams_nagpur	1460559443		109524955741121	India	2025-04-19T06:55:20.000Z
	"Kaha milegi aisi bhen?
 .
 .
 .
 #haldirams #haldiramsnagpur #bhen #bhencode❤️♾️"	1	1333	750	https://scontent-den2-1.cdninstagram.com/v/t51.2885-15/491516751_18498392074015444_4537230543870516607_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-den2-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QHoSW8Kve6pXAak7o2H-9_8tHX-L1MOjfVJI1A4Nd0U2-ksb9D5Xozx_IJ9KzaTCts&_nc_ohc=OR5iDNDWgNYQ7kNvwE3wd9s&_nc_gid=PqmouQZxf_eJEbszC2KMZA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfFoOLEhhV88oMjKRng4tKWT4qh4xQhIIt5BMvER6ARCKw&oe=680BDC66&_nc_sid=10d13b	my favorite namkeen	haldiramsnagpur	bhen	bhencode❤️♾️		3609861830172005003	https://www.instagram.com/haldirams_nagpur?igsh=MWNpY3JtcXI1NG5zbQ==	FALSE	18065210896958376	49299212848	https://scontent-den2-1.cdninstagram.com/v/t51.2885-19/429331155_720107996587532_8841209748689106469_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-den2-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QHoSW8Kve6pXAak7o2H-9_8tHX-L1MOjfVJI1A4Nd0U2-ksb9D5Xozx_IJ9KzaTCts&_nc_ohc=pYJPoNAxAT0Q7kNvwFi1X4V&_nc_gid=PqmouQZxf_eJEbszC2KMZA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfH8C8j4dgqqfrw4rrtD3WvHKPDwvdXUVxO6-AizCdpBOQ&oe=680BBB8D&_nc_sid=10d13b	kamlesh_2385	4ever.bollywood	256131833732976	haldirams_nagpur	1460559443	clips	109524955741121	India	2025-04-13T12:59:58.000Z
