Content	Feedback (Positive and Negative)
"AAMen!
 .
 .
 .
 #Haldirams #HaldiramsNagpur #Aam #Aamseason #mango #mangoseason"	Negative
"Texts jo DMs mein aate hain, samajh mein nahi 🫢 
 .
 .
 .
 #Haldirams #HaldiramsNagpur #FunnyDms"	Negative
"Just a match... made in heaven - I & IPL
 .
 .
 .
 #haldirams #haldiramsnagpur #IPL #RCBvsMI"	Negative
"Tit-bit is tea ka better fit 
 .
 .
 .
 #haldirams #haldiramsnagpur #titbit #shaamkichai"	Negative
"Moong daal mein aur swaad daalkar #BadePyaarSeBanayaHai
 .
 .
 .
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp #chips #potatochips"	Negative
"Yaad aa rahiii haiii 😭
 .
 .
 .
 #haldirams #haldiramsnagpur #gujiya #gujiyas #gujiyasweets #gujiyalove #holi #holi2025 #holicolor #holiwaalihomecoming"	Negative
"Wish you sweetness bhari Holi ki happiness!
 .
 .
 .
 #haldirams #haldiramsnagpur #gujiya #gujiyas #gujiyasweets #gujiyalove #holi #holi2025 #holicolor #holiwaalihomecoming"	Negative
"Recreate at your own risk
 .
 .
 .
 #haldirams #haldiramsnagpur #gujiya #gujiyas #gujiyasweets #gujiyalove #holi #holi2025 #holicolor #holiwaalihomecoming"	Negative
"Do me a favour, let's play Ghar Wali Holi
 .
 .
 .
 #haldirams #haldiramsnagpur #gujiya #gujiyas #gujiyasweets #gujiyalove #holi #holi2025 #holicolor #holiwaalihomecoming"	Negative
"Kesariya gulaal mein kisko dikhega ;)
 .
 .
 .
 #haldirams #haldiramsnagpur #gujiya #gujiyas #gujiyasweets #gujiyalove #holi #holi2025 #holicolor #holiwaalihomecoming"	Negative
"Haar ki kiwi << Jeet ke Laddoo
 
 #viratkohli #ChampionsTrophy #ICC #teamindia #INDvNZ #RohitSharma"	Negative
"Jogi ji lauta do woh din 🫶🏻
 .
 .
 .
 #haldirams #haldiramsnagpur #gujiya #gujiyas #gujiyasweets #gujiyalove #holi #holi2025 #holicolor #holiwaalihomecoming"	Negative
"Jaldi jaldi tag karo aur treat fix karo
 .
 .
 .
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	Negative
"Gulabi thand mein desi ghee wala baadam halwa sabke liye #BadePyaarSeBanayaHai! 
 Aapne chakha?
 .
 .
 .
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	Negative
"Apne bhai-bheno ko tag karo! Remind them it’s their turn to serve 😉
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	Negative
"Taste jo ghar ki yaad dilaye 🏠
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	Negative
"Manager ko complain kar sakte hai kya? 🤔
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	Negative
"Aasman se keh do, India waalo ke liye #space banaye rakhein 🤭
 #ISRO ##SpaDex #Proud
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	Negative
"Mungfli di khushbu te gur di mithaas,
 Lohri da tyohaar laaye khushiyan naal saath!
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp #lohri #lohri2025 #Sankranti"	Negative
"Yaad hai bachpan ki khatti meethi Anardana goli? Bachpan ki yaad taaza karne ke liye #BadePyaarSeBanayaHai ❤
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	Negative
"Wish you warm moments, sweet memories! 
 
 Merry Christmas from Haldiram's 🎄 
 
 #haldirams #christmas #christmastree #christmascookies #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	Negative
"Jingle bells ❌ dil mein baji guitar ✅
  
 #haldirams #christmas #christmastree #christmascookies #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	Negative
"Jingle bells, jingle bells, jingles all the ways
 Santa clause bhi confused hai with weird wishes these days 🙃 
 
 #haldirams #christmas #christmastree #christmascookies #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	Negative
"Shaadi ke ladoo ka toh pata nahi, boondi ke ladoo hum bhijwa denge ✨🤌
 
 #haldirams #haldiramsnagpur #bhujia #laddu #shaadikeladdu #shaadiseason #weddingvibes #weddinginspiration #indianweddings #shaadiaesthetic #shaadimeunzarooraana #shaadiwaalaghar #haldi #mehendi #roka"	Positive
"Inki love story ki sweet beginning aur happy ending - dono ho gayi. Aapki foodie love story kya hai? 
 Share in the comments!
 
 #haldirams #haldiramsnagpur #bhujia #laddu #shaadikeladdu #shaadiseason #weddingvibes #weddinginspiration #indianweddings #shaadiaesthetic"	Positive
"Foodie hai yeh baaraat. Haldiram’s ke ghar ki shaadi mein aayein le haathon mein haath. ❤️
 
 Jeevan saathi - #ShaadiWaaleGhar aur foodie man ki partyyy.
 
 #haldirams #haldiramsnagpur #bhujia #laddu #shaadikeladdu #shaadiseason #weddingvibes #weddinginspiration #indianweddings"	Positive
"Hamare liye sabse precious shagun aapki mithaas bhari smile hai 😊
 
 #haldirams #haldiramsnagpur #bhujia #laddu #shaadikeladdu #shaadiseason #weddingvibes #weddinginspiration #indianweddings #shaadiaesthetic #shaadimeunzarooraana #shaadiwaalaghar #haldi #mehendi #roka #sangeet"	Positive
"Foodie hai yeh baaraat. Haldiram’s ke ghar ki shaadi mein aayein, le haathon mein haath. ❤️
 
 Jeevan saathi - #ShaadiWaaleGhar aur foodie man ki partyyy.
 
 #haldirams #haldiramsnagpur #bhujia #laddu #shaadikeladdu #shaadiseason #weddingvibes #weddinginspiration #indianweddings"	Positive
"Office mein toh mithaai bat gayi hai. Aapne khaayi ya nahi?
 
 Haldiram’s ke #ShaadiWaaleGhar me sabko aana hai. 
 
 #haldirams #haldiramsnagpur #shaadikeladdu #shaadiseason #shaadiwaalaghar #ShaadiMatlabHaldirams"	Positive
"Rasmon ki taiyaari hai, mithaaiyon ki baari hai
 
 Haldiram’s ke #ShaadiWaaleGhar coming soon…
 
 #Haldirams #shaadiwaaleghar #shaadiseason #Haldiramsnagpur"	Positive
"You know winter is here when tiffin mein papad ki jagah Murukku aur Bhakarwadi pack hone lagte hain because mummy bhi aaj late uthe the. 
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #WinterAhead #fyp"	Positive
"Aaj ka motivation: Be like Boondi ke ladoo.
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #boondiladoo #boondikaladoo #fyp"	Positive
"There's love and then there's Kachori LOVE 💕. Tag that BIGGEST KACHORI LOVER.
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #kachori #kachorichaat #kachorirecipe #fyp"	Positive
"Thakaan ho ya stress ka vaar, Haldiram's Buttermilk hai aapke har mood ke liye taiyaar!
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #matkajhatka #buttermilk #buttermilklovers #chaas #fyp"	Positive
"Kaju Rolls #BadePyaarSeBanayaHai iss winter season ke liye!
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #kajurolls #fyp"	Positive
"Tum bas bataao kyaa chahiye, sab ready hai aap ke liye 
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #kachori #milkcake #bananachips #tastynuts #fyp"	Positive
"Second day of fun ke liye ready? Aaj aap prashad mai kya leke jaa rahe ho? 
 
 #Haldirams #navratri #navratrispecial #navratri2024 #Kajukatli"	Positive
"Laddo banto, khushiyan manao! Vo din finally aa gaya jiska hume last dussehra se intezar tha!
 
 A very happy Navratri, everyone! 🌼
 
 #Haldirams #navratri #navratrispecial #navratri2024"	Positive
"Tell us in the comments 😎
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts
 
 [Khushiyan Ho Toh Haldirams, Haldirams Nagpur, Haldirams food, Haldirams, Gulab Jamun, Bhujia, popcorn, salted popcorn, butter popcorn]"	Positive
"Pocket sized Bhujia packets, har jagah le jaao, kya pataa kahan jaroorat pad jaaye! 
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #snacksmatlabhaldirams"	Positive
"Chai mein duboke, ya coffee ke saath, Haldiram's cookies khao har beverage ke saath, Kyunki #BadePyaarSeBanayaHai
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts"	Positive
"Bas aise hi ek ek karke saare snacks kab khatam ho jaate hai, samaj hi nahi aata! 
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts
 
 [Khushiyan Ho Toh Haldirams, Haldirams Nagpur, Haldirams food, Haldirams]"	Positive
"Khaane ke baad dessert toh banta hain na? ☺️
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #kajukatli
 
 [Khushiyan Ho Toh Haldirams, Haldirams Nagpur, Haldirams food, Haldirams, Gulab Jamun, Bhujia, kaju katli]"	Positive
"Concert tickets book nahi ho paaye?
 
 Koi baat nahi! 
 
 Now you have an extra budget for snacks 😋 
 
 #coldplay #coldplayconcert #concerttickets #coldplaytickets #haldiramsfood #Haldirams #haldiramsnagpur #HaldiramLove"	Positive
"Bappa jald hi aa rahe hai, sabke vighna harne, aur modak khane ke liye!
 
 #GaneshaChaturthi #Modak #Ladoo #MotichoorLadoo #Haldirams #HaldiramsNagpur
 
 [Khushiyan Ho Toh Haldirams, Haldirams Nagpur, Haldirams food, Haldirams, Ganesha puja, Besan ladoo, Coconut ladoo, Modak]"	Positive
"Har dessert ki shaan badhaye, Haldiram's Gulab Jamun. Kyunki, #badepyaarsebanayahai
 
 #haldirams #haldiramsnagpur #gulabjamun #gulabjamuncheesecake
 
 [Khushiyan Ho Toh Haldirams, Haldirams Nagpur, Haldirams food, Haldirams, Gulab Jamun, Gulab Jamun Cheesecake, Gulab Jamun Cake]"	Positive
"Tag the first person jo khaane se zyada snacks khaata hai 😂
 
 #haldiramsfood #haldirams #haldiramsnagpur #snacksmatlabhaldirams
 
 [Khushiyan Ho Toh Haldirams, Haldirams Nagpur, Haldirams food]"	Positive
"Kya aap bhi dal chawal ke saath Aloo Bhujia khaate ho?
 
 #dalchawal #haldirams #haldiramsnagpur #bhujia
 
 [Khushiyan Ho Toh Haldirams, Haldirams Nagpur, Haldirams food, Haldirams]"	Positive
"Nobody will remember:
 - Your Salary
 - How ‘’busy you were
 - How many hours you worked
 
 People will remember:
 
 - Birthday ke din Gulab Jamun khilata tha"	Positive
"Strengthen your bond with Rakhi ki rasmein and Haldiram’s ki mithaiyan 🤗
 
 #HaldiramsRakhi #RakhiWithHaldirams #SweetestRakhiEver #BhaiBehenLove #RakshaBandhan
 
 [Khushiyan Ho Toh Haldirams, Haldirams Nagpur, Haldirams food, Rakhi, Raksha Bandhan, Rakhi Special, Sibling Bond]"	Positive
