Content	Loyalty Indicators
"AAMen!
 .
 .
 .
 #Haldirams #HaldiramsNagpur #Aam #Aamseason #mango #mangoseason"	NO
"Texts jo DMs mein aate hain, samajh mein nahi 🫢 
 .
 .
 .
 #Haldirams #HaldiramsNagpur #FunnyDms"	NO
"Just a match... made in heaven - I & IPL
 .
 .
 .
 #haldirams #haldiramsnagpur #IPL #RCBvsMI"	NO
"Tit-bit is tea ka better fit 
 .
 .
 .
 #haldirams #haldiramsnagpur #titbit #shaamkichai"	NO
"Moong daal mein aur swaad daalkar #BadePyaarSeBanayaHai
 .
 .
 .
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp #chips #potatochips"	YES
"Yaad aa rahiii haiii 😭
 .
 .
 .
 #haldirams #haldiramsnagpur #gujiya #gujiyas #gujiyasweets #gujiyalove #holi #holi2025 #holicolor #holiwaalihomecoming"	YES
"Wish you sweetness bhari Holi ki happiness!
 .
 .
 .
 #haldirams #haldiramsnagpur #gujiya #gujiyas #gujiyasweets #gujiyalove #holi #holi2025 #holicolor #holiwaalihomecoming"	YES
"Recreate at your own risk
 .
 .
 .
 #haldirams #haldiramsnagpur #gujiya #gujiyas #gujiyasweets #gujiyalove #holi #holi2025 #holicolor #holiwaalihomecoming"	YES
"Do me a favour, let's play Ghar Wali Holi
 .
 .
 .
 #haldirams #haldiramsnagpur #gujiya #gujiyas #gujiyasweets #gujiyalove #holi #holi2025 #holicolor #holiwaalihomecoming"	YES
"Kesariya gulaal mein kisko dikhega ;)
 .
 .
 .
 #haldirams #haldiramsnagpur #gujiya #gujiyas #gujiyasweets #gujiyalove #holi #holi2025 #holicolor #holiwaalihomecoming"	YES
"Haar ki kiwi << Jeet ke Laddoo
 
 #viratkohli #ChampionsTrophy #ICC #teamindia #INDvNZ #RohitSharma"	NO
"Jogi ji lauta do woh din 🫶🏻
 .
 .
 .
 #haldirams #haldiramsnagpur #gujiya #gujiyas #gujiyasweets #gujiyalove #holi #holi2025 #holicolor #holiwaalihomecoming"	YES
"Jaldi jaldi tag karo aur treat fix karo
 .
 .
 .
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	NO
"Gulabi thand mein desi ghee wala baadam halwa sabke liye #BadePyaarSeBanayaHai! 
 Aapne chakha?
 .
 .
 .
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	YES
