Date	Post Type	Content	Image	Like	Retweet	Reply
2025-04-14T15:08:17.000Z	video	"AAMen!
 .
 .
 .
 #Haldirams #HaldiramsNagpur #Aam #Aamseason #mango #mangoseason"	https://pbs.twimg.com/amplify_video_thumb/1911798599303753728/img/3JU3-o-dY3FkoHuD.jpg	1		
2025-04-10T14:20:38.000Z	image	"Texts jo DMs mein aate hain, samajh mein nahi 🫢 
 .
 .
 .
 #Haldirams #HaldiramsNagpur #FunnyDms"	https://pbs.twimg.com/media/GoLhfSTXMAAB77B?format=jpg&name=360x360,https://pbs.twimg.com/media/GoLhfSaXwAA-zmH?format=jpg&name=360x360,https://pbs.twimg.com/media/GoLhfShWwAAicFR?format=jpg&name=360x360,https://pbs.twimg.com/media/GoLhfSYXcAACKup?format=jpg&name=360x360	1		
2025-04-07T14:37:36.000Z	video	"Just a match... made in heaven - I & IPL
 .
 .
 .
 #haldirams #haldiramsnagpur #IPL #RCBvsMI"	https://pbs.twimg.com/amplify_video_thumb/1909254141609906176/img/WHdfg2mQgG7sJtQJ.jpg			
2025-04-05T13:27:20.000Z	image	"Tit-bit is tea ka better fit 
 .
 .
 .
 #haldirams #haldiramsnagpur #titbit #shaamkichai"	https://pbs.twimg.com/media/GnxlUvlbYAI80hq?format=jpg&name=360x360,https://pbs.twimg.com/media/GnxlUvmbYAYAmas?format=jpg&name=360x360,https://pbs.twimg.com/media/GnxlUvraEAAWh5t?format=jpg&name=360x360	2		
2025-03-16T16:40:13.000Z	image	"Moong daal mein aur swaad daalkar #BadePyaarSeBanayaHai
 .
 .
 .
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp #chips #potatochips"	https://pbs.twimg.com/media/GmLRsUUbcAAS_9H?format=jpg&name=small	6		
2025-03-15T14:25:09.000Z	video	"Yaad aa rahiii haiii 😭
 .
 .
 .
 #haldirams #haldiramsnagpur #gujiya #gujiyas #gujiyasweets #gujiyalove #holi #holi2025 #holicolor #holiwaalihomecoming"	https://pbs.twimg.com/amplify_video_thumb/1900916114164727808/img/_8nDe156_tmqBs3o.jpg	1		1
2025-03-14T03:47:02.000Z	video	"Wish you sweetness bhari Holi ki happiness!
 .
 .
 .
 #haldirams #haldiramsnagpur #gujiya #gujiyas #gujiyasweets #gujiyalove #holi #holi2025 #holicolor #holiwaalihomecoming"	https://pbs.twimg.com/amplify_video_thumb/1900393132875014146/img/HcNKcXUPl1Owb4tN.jpg	2		
2025-03-12T15:20:46.000Z	video	"Recreate at your own risk
 .
 .
 .
 #haldirams #haldiramsnagpur #gujiya #gujiyas #gujiyasweets #gujiyalove #holi #holi2025 #holicolor #holiwaalihomecoming"	https://pbs.twimg.com/amplify_video_thumb/1899842953339617280/img/I6j1HEPAur9nM38f.jpg			1
2025-03-11T14:44:51.000Z	video	"Do me a favour, let's play Ghar Wali Holi
 .
 .
 .
 #haldirams #haldiramsnagpur #gujiya #gujiyas #gujiyasweets #gujiyalove #holi #holi2025 #holicolor #holiwaalihomecoming"	https://pbs.twimg.com/amplify_video_thumb/1899471335153172482/img/24qWXB4arqzdrqUF.jpg	1		
2025-03-10T14:34:15.000Z	image	"Kesariya gulaal mein kisko dikhega ;)
 .
 .
 .
 #haldirams #haldiramsnagpur #gujiya #gujiyas #gujiyasweets #gujiyalove #holi #holi2025 #holicolor #holiwaalihomecoming"	https://pbs.twimg.com/media/Glr7URJWAAEp2nG?format=jpg&name=small	1		
2025-03-10T08:01:29.000Z	image	"Haar ki kiwi << Jeet ke Laddoo
 
 #viratkohli #ChampionsTrophy #ICC #teamindia #INDvNZ #RohitSharma"	https://pbs.twimg.com/media/Glqha83WQAA58QC?format=jpg&name=small	4		1
2025-03-05T14:27:10.000Z	image	"Jogi ji lauta do woh din 🫶🏻
 .
 .
 .
 #haldirams #haldiramsnagpur #gujiya #gujiyas #gujiyasweets #gujiyalove #holi #holi2025 #holicolor #holiwaalihomecoming"	https://pbs.twimg.com/media/GlSJv4zbwAAXEym?format=jpg&name=small	2		1
2025-01-29T15:28:07.000Z	video	"Jaldi jaldi tag karo aur treat fix karo
 .
 .
 .
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	https://pbs.twimg.com/amplify_video_thumb/1884624507643756545/img/avjFpdYEsrNSBEKn.jpg	1		2
