Sr. No.,Platform,Customer Handle,Payment Method,Transaction Outcome,Issue Type,Payment Preferences,Sentiment,Date,Comment/Feedback
1,Haldiram.com,@SnackLover,UPI,Failed,Payment failure,UPI preferred,Negative,2024-04-02,"""UPI payment failed twice, couldn't place my order."""
2,Haldiram.com,@SweetTooth92,Credit Card,Success,No issue,Credit Card preferred,Positive,2024-05-14,"""Fast checkout via credit card, smooth experience."""
3,Zomato,@SpicyFanatic,Debit Card,Failed,Payment failure,Debit Card preferred,Negative,2024-06-19,"""Debit card declined, even though funds were available. Very frustrating!"""
4,Amazon,@TasteBuds2024,Paytm,Success,No issue,Paytm preferred,Positive,2024-07-10,"""Paytm worked perfectly. I use it for quick payments, no issues so far."""
5,Instagram,@FoodieFanatic,Google Pay,Failed,Payment failure,Google Pay preferred,Negative,2024-08-05,"""Google Pay failed to process payment at checkout, could not complete my order."""
6,Haldiram.com,@SnackMania22,Cash on Delivery,Success,No issue,COD preferred,Positive,2024-08-22,"""COD is my favorite method. It’s convenient, especially during holidays."""
7,Swiggy,@TastyMuncher,Credit Card,Failed,Payment failure,Credit Card preferred,Negative,2024-09-01,"""My credit card payment didn’t go through, had to cancel the order."""
8,Haldiram.com,@BiteOfIndia,UPI,Success,No issue,UPI preferred,Positive,2024-09-20,"""UPI payments are quick and seamless, always works without issues."""
9,Zomato,@GourmetLover,Credit Card,Success,No issue,Credit Card preferred,Positive,2024-10-15,"""Always use credit cards, no problems at all. Fast processing."""
10,Haldiram.com,@ChaatLover,Paytm,Failed,Payment failure,Paytm preferred,Negative,2024-11-05,"""Paytm payment failed twice today, getting disappointed."""
11,Amazon,@FoodieFiend,Debit Card,Success,No issue,Debit Card preferred,Positive,2024-12-10,"""No issues with debit card. Payments are always smooth."""
12,Instagram,@SnackAddict2024,Google Pay,Failed,Payment failure,Google Pay preferred,Negative,2025-01-03,"""Google Pay failed, kept giving me an error message."""
13,Swiggy,@DeliciousBites,UPI,Success,No issue,UPI preferred,Positive,2025-01-20,"""UPI works best for me, fast and secure."""
14,Haldiram.com,@MunchyMadness,COD,Success,No issue,COD preferred,Positive,2025-02-15,"""Cash on Delivery is my go-to option, especially during sales."""
15,Zomato,@SnackAttack,Paytm,Success,No issue,Paytm preferred,Positive,2025-03-01,"""Paytm works flawlessly for payments, I always choose it for quick checkouts."""
16,Haldiram.com,@FoodVibes,Credit Card,Failed,Payment failure,Credit Card preferred,Negative,2024-04-18,"""Credit card payment failed, but no issue with the product."""
17,Swiggy,@QuickEats,Debit Card,Success,No issue,Debit Card preferred,Positive,2024-07-25,"""Debit card is always my payment method. It’s reliable."""
18,Instagram,@CrispySnacks,Google Pay,Success,No issue,Google Pay preferred,Positive,2024-09-05,"""Google Pay works great! Fast and smooth checkout process."""
19,Haldiram.com,@TasteTester,UPI,Success,No issue,UPI preferred,Positive,2024-11-11,"""UPI is so easy and convenient. Always my first choice."""
20,Zomato,@FoodJourney,Credit Card,Failed,Payment failure,Credit Card preferred,Negative,2024-12-23,"""Payment via credit card failed, had to reattempt."""
21,Swiggy,@FoodieExplorer,Paytm,Success,No issue,Paytm preferred,Positive,2025-03-10,"""I always use Paytm for quick payments. Very easy and reliable!"""
22,Amazon,@ChaatCraver,UPI,Failed,Payment failure,UPI preferred,Negative,2024-08-25,"""UPI failed again, and I had to switch to another payment method."""
23,Zomato,@DelightBites,Debit Card,Success,No issue,Debit Card preferred,Positive,2025-02-18,"""Always use my debit card, no issues with payment."""
24,Haldiram.com,@SweetsLover22,Credit Card,Failed,Payment failure,Credit Card preferred,Negative,2025-01-12,"""Credit card payment kept getting rejected, unable to place order."""
25,Haldiram.com,@SpicyCravings,Google Pay,Success,No issue,Google Pay preferred,Positive,2024-10-01,"""Google Pay is quick and always works without issue."""
