KPI NAME 1) Estimated Market Size (Specific Category - Indian namken),,,,,,,
"DATA COLLECTED FROM - NDTV , GLOBALNEWS , STATISTA , ECONOMICS TIMES",,,,,,,
DATED FROM - 2023 TO 2025,,,,,,,
Sr No,Category,Brand,Date,Platform Link,Description,Estimated Market Size (₹ Cr),CAGR (%)
1,Chivda,Bingo,24-11-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Bingo in Chivda category showing growth trends and projections.,908.3,7.47
2,Namkeen,Haldiram's,15-02-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Haldiram's in Namkeen category showing growth trends and projections.,546.35,10.15
3,Chips,ITC,30-08-2024,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for ITC in Chips category showing growth trends and projections.,630.1,11.74
4,Chips,PepsiCo,14-11-2023,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for PepsiCo in Chips category showing growth trends and projections.,919.7,8.42
5,Chips,Bingo,19-06-2023,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Bingo in Chips category showing growth trends and projections.,622.11,12.75
6,Fried Nuts,Bingo,05-01-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Bingo in Fried Nuts category showing growth trends and projections.,464.23,7.69
7,Bhujia,Balaji Wafers,02-10-2024,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Balaji Wafers in Bhujia category showing growth trends and projections.,259,10.46
8,Chanachur,ITC,31-01-2025,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for ITC in Chanachur category showing growth trends and projections.,180.07,9.15
