,,,
,,,
Date,Ingredient,Price Trend,Source
20/1/2024,Salt,Stable,Financial News
11/10/2024,Besan (Gram Flour),Stable,Economic Times
4/2/2024,Salt,Volatile,Financial News
20/4/2025,Besan (Gram Flour),Stable,Financial News
14/10/2024,Besan (Gram Flour),Stable,Government Bulletin
24/4/2024,Cardamom,Stable,Industry Magazine
19/5/2024,Cumin,Rising,Economic Times
6/2/2025,Chili Powder,Volatile,Industry Magazine
17/7/2024,Chili Powder,Rising,Industry Magazine
25/2/2025,Turmeric,Stable,Financial News
5/8/2024,Cumin,Volatile,Financial News
3/1/2025,Pulses,Rising,Government Bulletin
24/4/2024,Sugar,Stable,Commodity Report
14/5/2024,Turmeric,Volatile,Industry Magazine
29/3/2025,Besan (Gram Flour),Falling,Economic Times
15/3/2024,Pulses,Volatile,Government Bulletin
23/1/2024,Besan (Gram Flour),Falling,Economic Times
18/6/2024,Sugar,Stable,Financial News
10/2/2025,Pulses,Falling,Economic Times
22/6/2024,Cardamom,Rising,Financial News
12/1/2025,Cumin,Rising,Economic Times
16/2/2025,Cardamom,Falling,Government Bulletin
3/5/2024,Cumin,Stable,Economic Times
18/12/2024,Besan (Gram Flour),Stable,Financial News
3/1/2024,Sugar,Volatile,Commodity Report
16/8/2024,Cardamom,Volatile,Economic Times
25/1/2025,Cumin,Volatile,Economic Times
5/5/2024,Turmeric,Stable,Economic Times
16/11/2024,Cumin,Volatile,Commodity Report
20/3/2025,Sugar,Stable,Industry Magazine
8/4/2025,Chili Powder,Falling,Commodity Report
20/11/2024,Cumin,Rising,Industry Magazine
15/10/2024,Salt,Falling,Government Bulletin
24/8/2024,Chili Powder,Stable,Commodity Report
30/10/2024,Edible Oils,Stable,Commodity Report
25/3/2025,Pulses,Falling,Financial News
14/2/2025,Edible Oils,Stable,Economic Times
21/1/2025,Turmeric,Volatile,Government Bulletin
26/2/2024,Chili Powder,Volatile,Government Bulletin
19/10/2024,Edible Oils,Volatile,Commodity Report
24/2/2024,Edible Oils,Rising,Industry Magazine
15/4/2025,Sugar,Stable,Economic Times
10/2/2024,Cumin,Falling,Commodity Report
26/2/2024,Chili Powder,Falling,Industry Magazine
7/3/2025,Besan (Gram Flour),Falling,Government Bulletin
23/4/2024,Sugar,Falling,Government Bulletin
9/6/2024,Cumin,Volatile,Government Bulletin
13/4/2025,Cumin,Rising,Financial News
3/12/2024,Cumin,Falling,Industry Magazine
21/11/2024,Chili Powder,Rising,Economic Times
20/1/2025,Edible Oils,Falling,Government Bulletin
1/4/2025,Besan (Gram Flour),Stable,Economic Times
16/7/2024,Chili Powder,Falling,Commodity Report
18/11/2024,Besan (Gram Flour),Stable,Government Bulletin
24/2/2025,Chili Powder,Rising,Economic Times
2/8/2024,Salt,Stable,Economic Times
16/3/2024,Sugar,Falling,Economic Times
3/12/2024,Besan (Gram Flour),Rising,Commodity Report
10/4/2024,Cardamom,Falling,Financial News
26/5/2024,Edible Oils,Volatile,Industry Magazine
19/7/2024,Turmeric,Volatile,Commodity Report
4/2/2024,Sugar,Stable,Commodity Report
10/12/2024,Pulses,Falling,Financial News
18/6/2024,Edible Oils,Volatile,Industry Magazine
20/12/2024,Sugar,Stable,Industry Magazine
18/10/2024,Sugar,Stable,Financial News
24/1/2024,Salt,Stable,Industry Magazine
11/1/2025,Pulses,Falling,Industry Magazine
21/9/2024,Pulses,Volatile,Government Bulletin
23/3/2025,Cardamom,Rising,Commodity Report
9/1/2024,Cumin,Rising,Government Bulletin
26/8/2024,Cardamom,Rising,Financial News
29/8/2024,Besan (Gram Flour),Falling,Commodity Report
30/3/2025,Wheat,Volatile,Financial News
23/10/2024,Edible Oils,Rising,Government Bulletin
28/7/2024,Edible Oils,Stable,Commodity Report
22/3/2024,Edible Oils,Falling,Industry Magazine
7/12/2024,Pulses,Stable,Financial News
19/9/2024,Cumin,Stable,Economic Times
9/6/2024,Pulses,Stable,Industry Magazine
11/2/2024,Cardamom,Falling,Industry Magazine
28/3/2025,Sugar,Stable,Financial News
21/6/2024,Cardamom,Rising,Commodity Report
15/4/2025,Chili Powder,Volatile,Economic Times
11/3/2025,Chili Powder,Rising,Commodity Report
26/9/2024,Besan (Gram Flour),Falling,Industry Magazine
16/3/2024,Chili Powder,Volatile,Financial News
10/4/2024,Cardamom,Rising,Industry Magazine
18/5/2024,Edible Oils,Stable,Government Bulletin
18/2/2025,Turmeric,Stable,Industry Magazine
12/11/2024,Sugar,Volatile,Commodity Report
16/10/2024,Turmeric,Rising,Economic Times
16/7/2024,Pulses,Volatile,Government Bulletin
24/10/2024,Wheat,Rising,Commodity Report
15/5/2024,Cardamom,Rising,Financial News
3/7/2024,Chili Powder,Volatile,Economic Times
2/10/2024,Sugar,Falling,Industry Magazine
28/8/2024,Cardamom,Falling,Commodity Report
24/1/2024,Cardamom,Stable,Financial News
3/4/2024,Cumin,Stable,Government Bulletin
15/8/2024,Pulses,Falling,Financial News
9/9/2024,Turmeric,Rising,Industry Magazine
5/1/2025,Cardamom,Volatile,Financial News
3/3/2025,Cumin,Stable,Financial News
6/7/2024,Pulses,Rising,Economic Times
24/11/2024,Cumin,Volatile,Industry Magazine
11/2/2025,Besan (Gram Flour),Volatile,Industry Magazine
11/5/2024,Chili Powder,Volatile,Industry Magazine
