,,,,,
,,,,,
Retailer,Private Label Product Category,Description of Private Label Activity,Industry Source,Threat Level (High/Medium/Low),Key Trends/Insights
Reliance Retail,Packaged Snacks,"Expansion of ""Reliance Select"" snacks range, including chips and namkeens.",Economic Times,High,Increased focus on competitive pricing and expanding snack variety.
DMart,Ready-to-Eat (RTE) Meals,"Launch of DMart's own line of ready-to-eat meals, including vegetarian curries and rice options.",Hindustan Times,Medium,"Entry into the growing RTE market, tapping into convenience."
BigBasket,Packaged Sweets,"BigBasket expanding their private label ""Fresho"" to include traditional sweets like ladoos, barfis, and mithais.",Business Insider,Medium,Traditional sweets with modern packaging and ingredients.
Amazon India,Snacks & Sweets,"Expansion of Amazon's private label offerings in the snacks and sweets category under the brand ""Solimo.""",The Hindu,High,"Competitive pricing, targeting a wide range of consumer preferences."
Flipkart,Packaged Snacks,"Flipkart’s private label, ""SmartBuy,"" introducing new snack items, including trail mixes and health snacks.",Times of India,Low,Market entry focusing on health-conscious consumers.
Reliance Retail,Beverages & Juices,"Reliance is launching private label juices and beverages, including flavored drinks.",NDTV,Low,Growing interest in healthier beverage options.
BigBasket,Organic Snacks,"BigBasket launching organic snack options such as roasted nuts and organic namkeen under their ""Fresho"" label.",The Hindu,Medium,Growth of organic products in mainstream grocery retail.
DMart,Instant Noodles,"DMart expanding its instant noodles range, introducing budget-friendly noodles under its private label.",Economic Times,High,Price competition with established noodle brands.
Reliance Retail,Frozen Foods,"Reliance expanding its frozen foods range under the ""Reliance Select"" label to include frozen snacks like samosas and spring rolls.",Business Insider,Medium,Increased demand for convenient frozen snack options.
BigBasket,Packaged Chips,"BigBasket has added new varieties of chips under the ""Fresho"" label, including exotic flavors like peri-peri and cheese.",Times of India,Medium,Innovative flavors aimed at younger consumers.
Amazon India,Ready-to-Eat (RTE) Meals,"Amazon has added RTE products like biryani and parathas to its private label lineup under ""Solimo.""",The Hindu,Medium,Expanding in the growing convenience food segment.
Flipkart,Fresh Produce,"Flipkart is introducing fresh produce under the ""SmartBuy"" label, including fruits and vegetables.",Economic Times,Low,Diversification into fresh food retail.
DMart,Packaged Sweets,"DMart expanding its private label sweets, including chocolates, candies, and mithai varieties.",Hindustan Times,Medium,Competitive pricing on popular sweets.
Reliance Retail,Dairy Products,"Reliance’s private label in dairy products is expanding, offering affordable packaged curds, milk, and cheese.",Business Insider,Low,Entry into the competitive dairy sector with affordable options.
BigBasket,Packaged Drinks,"BigBasket expands its line of private label drinks, offering fruit juices, soft drinks, and flavored waters under the ""Fresho"" brand.",NDTV,Medium,"Targeting young, health-conscious consumers."
