,,,,,,
KPI-5 ) Regulatory Changes/News Frequency,,,,,,
,,,,,,
Sr. No.,Date,Regulatory Change,Category,Impact Area,News Frequency,Platform Link
1,2024-01-01,FSSAI updates guidelines for nutritional labeling on snacks,Labeling Regulation,Nutritional Transparency & Consumer Protection,High,Link
2,2024-01-15,FSSAI enforces limits on preservatives used in snack products,Ingredient Regulation,Ingredient Safety & Consumer Health,High,Link
3,2024-02-05,FSSAI introduces packaging standards for biodegradable snack packaging,Packaging Regulation,Environmental Impact & Sustainability,Medium,Link
4,2024-02-18,FSSAI sets new rules for snacks marketed as “low-calorie”,Labeling Regulation,Labeling Transparency & Health Claims,Medium,Link
5,2024-03-01,FSSAI announces regulations for ingredient sourcing for imported snack products,Ingredient Regulation,Ingredient Sourcing & Import Regulations,High,Link
6,2024-03-10,FSSAI tightens rules on labeling of snacks containing artificial colors,Labeling Regulation,Labeling Compliance & Consumer Awareness,Medium,Link
7,2024-03-22,FSSAI updates snack production safety standards for trans fat content,Ingredient Regulation,Ingredient Composition & Food Safety,High,Link
8,2024-04-01,FSSAI introduces stringent allergen labeling guidelines for snack foods,Labeling Regulation,Consumer Protection & Ingredient Safety,High,Link
9,2024-04-05,FSSAI mandates fortification of snacks with essential micronutrients,Ingredient Regulation,Nutritional Standards & Consumer Health,Medium,Link
10,2024-04-15,FSSAI issues guidelines for reducing salt content in packaged snacks,Ingredient Regulation,Ingredient Composition & Health Standards,High,Link
11,2024-05-02,FSSAI sets up a timeline for enforcing new rules for sugar content in snack foods,Ingredient Regulation,Ingredient Composition & Health Compliance,High,Link
12,2024-05-10,FSSAI announces revised guidelines for snack products containing gluten-free claims,Labeling Regulation,Labeling Compliance & Consumer Protection,Medium,Link
13,2024-05-20,FSSAI introduces new packaging requirements for imported snacks,Packaging Regulation,Import/Export Regulations & Packaging Safety,Low,Link
14,2024-06-01,FSSAI tightens regulations on snack imports from countries with inconsistent food safety standards,Import/Export Regulation,Import/Export Compliance & Safety,Medium,Link
15,2024-06-12,FSSAI proposes a new ban on artificial flavors in snacks marketed as “natural”,Ingredient Regulation,Ingredient Safety & Product Integrity,High,Link
