KPI - 8 TO KPI - 15 (DONE BY VARAD DEOLANKAR),,,,,,,,
,,,,,,,,
Platform,Product Name,Brand,Weight (g),Price (₹),Discount (%),Availability,Delivery Time,Product Link
Amazon.in,Balaji Wafers Masala Sev,Balaji Wafers,400,50,10,In Stock,15 Minutes,https://amazon.in.com/product/balaji-wafers-masala-sev
BigBasket,Open Secret Moong Dal,Open Secret,150,50,15,Out of Stock,15 Minutes,https://bigbasket.com/product/open-secret-moong-dal
Amazon.in,Bikano Aloo Bhujia,Bikano,200,40,15,Out of Stock,30 Minutes,https://amazon.in.com/product/bikano-aloo-bhujia
Flipkart Grocery,Bingo! Chakli,Bingo!,250,50,5,Out of Stock,10 Minutes,https://flipkartgrocery.com/product/bingo!-chakli
Amazon.in,Kurkure Navratan Mix,Kurkure,100,40,25,Out of Stock,10 Minutes,https://amazon.in.com/product/kurkure-navratan-mix
Swiggy Instamart,Too Yumm! Navratan Mix,Too Yumm!,100,30,20,In Stock,Next Day,https://swiggyinstamart.com/product/too-yumm!-navratan-mix
Flipkart Grocery,Too Yumm! Bikaneri Bhujia,Too Yumm!,350,80,10,Out of Stock,Next Day,https://flipkartgrocery.com/product/too-yumm!-bikaneri-bhujia
Blinkit,Open Secret Chakli,Open Secret,400,80,10,In Stock,30 Minutes,https://blinkit.com/product/open-secret-chakli
Zepto,Balaji Wafers Masala Sev,Balaji Wafers,350,50,20,In Stock,Next Day,https://zepto.com/product/balaji-wafers-masala-sev
Zepto,Bikano Bikaneri Bhujia,Bikano,200,80,10,In Stock,30 Minutes,https://zepto.com/product/bikano-bikaneri-bhujia
Amazon.in,Bikano Moong Dal,Bikano,150,60,25,Out of Stock,Next Day,https://amazon.in.com/product/bikano-moong-dal
Flipkart Grocery,Bingo! Bikaneri Bhujia,Bingo!,400,100,25,In Stock,2 Days,https://flipkartgrocery.com/product/bingo!-bikaneri-bhujia
Amazon.in,Bingo! Mixture,Bingo!,300,70,25,In Stock,15 Minutes,https://amazon.in.com/product/bingo!-mixture
Blinkit,Bikano Navratan Mix,Bikano,350,70,25,In Stock,10 Minutes,https://blinkit.com/product/bikano-navratan-mix
Swiggy Instamart,Open Secret Aloo Bhujia,Open Secret,400,60,20,Out of Stock,15 Minutes,https://swiggyinstamart.com/product/open-secret-aloo-bhujia
Flipkart Grocery,Bikano Navratan Mix,Bikano,200,90,15,Out of Stock,10 Minutes,https://flipkartgrocery.com/product/bikano-navratan-mix
Amazon.in,Too Yumm! Masala Sev,Too Yumm!,250,90,20,Out of Stock,30 Minutes,https://amazon.in.com/product/too-yumm!-masala-sev
Blinkit,Balaji Wafers Bikaneri Bhujia,Balaji Wafers,250,30,10,In Stock,2 Days,https://blinkit.com/product/balaji-wafers-bikaneri-bhujia
Zepto,Kurkure Navratan Mix,Kurkure,200,50,25,In Stock,30 Minutes,https://zepto.com/product/kurkure-navratan-mix
