KPI-4 ) Trend Strength (via Search Volume),,,,,
DATA COLECTED FROM = GOOGLE TRENDS ,,,,,
Sr. No.,Date,Category,Search Term,Relative Interest,Platform Link
1,2020-05,Healthy Snacks,Healthy Snacks India,81,Link
2,2020-06,Healthy Snacks,Healthy Snacks India,75,Link
3,2020-07,Healthy Snacks,Healthy Snacks India,67,Link
4,2020-08,Healthy Snacks,Healthy Snacks India,70,Link
5,2020-09,Healthy Snacks,Healthy Snacks India,63,Link
6,2020-10,Healthy Snacks,Healthy Snacks India,78,Link
7,2020-11,Healthy Snacks,Healthy Snacks India,82,Link
8,2020-12,Healthy Snacks,Healthy Snacks India,74,Link
9,2021-01,Healthy Snacks,Healthy Snacks India,85,Link
10,2021-02,Healthy Snacks,Healthy Snacks India,88,Link
11,2021-03,Sustainable Packaging,Sustainable Packaging Food,62,Link
12,2021-04,Sustainable Packaging,Sustainable Packaging Food,65,Link
13,2021-05,Sustainable Packaging,Sustainable Packaging Food,68,Link
14,2021-06,Sustainable Packaging,Sustainable Packaging Food,70,Link
15,2021-07,Sustainable Packaging,Sustainable Packaging Food,64,Link
16,2021-08,Sustainable Packaging,Sustainable Packaging Food,66,Link
17,2021-09,Sustainable Packaging,Sustainable Packaging Food,72,Link
18,2021-10,Sustainable Packaging,Sustainable Packaging Food,69,Link
19,2021-11,Sustainable Packaging,Sustainable Packaging Food,73,Link
20,2021-12,Sustainable Packaging,Sustainable Packaging Food,77,Link
21,2022-01,Sustainable Packaging,Sustainable Packaging Food,63,Link
22,2022-02,Sustainable Packaging,Sustainable Packaging Food,68,Link
23,2022-03,Online Grocery Delivery,Online Grocery Delivery,82,Link
24,2022-04,Online Grocery Delivery,Online Grocery Delivery,87,Link
25,2022-05,Online Grocery Delivery,Online Grocery Delivery,90,Link
26,2022-06,Online Grocery Delivery,Online Grocery Delivery,78,Link
27,2022-07,Online Grocery Delivery,Online Grocery Delivery,86,Link
28,2022-08,Online Grocery Delivery,Online Grocery Delivery,89,Link
29,2022-09,Online Grocery Delivery,Online Grocery Delivery,83,Link
30,2022-10,Online Grocery Delivery,Online Grocery Delivery,91,Link
