Region,Percentage,Top,Percentage,Week,Haldiram: (India)
Delhi,100%,Haldiram's Aloo Bhujia,Breakout,14-04-2024,44%
Haryana,61%,Haldiram's Frozen Kaju Katli,Breakout,15-04-2024,42%
Uttar Pradesh,34%,Haldiram Classic Roasted Crushed Peanuts,Breakout,16-04-2024,41%
Maharashtra,32%,Haldiram's Cornflakes Mixture,Breakout,17-04-2024,47%
UttaraKhand,30%,Haldiram Bhujia Namkeen 1 kg,Breakout,18-04-2024,51%
Chandigarh,29%,Blackstone,Breakout,19-04-2024,52%
Punjab,26%,Haldiram's Bhujia Plain,Breakout,20-04-2024,49%
Chhattisgarh,29%,Haldiram's Bhelpuri 1KG,4900%,21-04-2024,37%
Daman and Diu,24%,"Haldiram's 24X7 - The Railway Coach Restaurant, Bilaspur",3950%,22-04-2024,44%
West Bengal ,20%,Haldiram's Navrattan,400%,23-04-2024,46%
Dadra and Nagar Haveli,18%,Haldiram's Soan Papdi,300%,24-04-2024,44%
Madhya Pradesh,17%,Haldirams Namkeen Salted,250%,25-04-2024,44%
Himachal Pradesh,15%,Haldiram's Nut Cracker,250%,26-04-2024,49%
Telangana,15%,Haldirams Haldiram All in One,180%,27-04-2024,55%
Jharkhand,14%,Haldiram's Takatak,180%,28-04-2024,48%
Goa,14%,Haldiram's Rasgulla,110%,29-04-2024,54%
Karnataka,13%,Snack,1%,30-04-2024,52%
Jammu & Kashmir,12%,Candy,1%,01-05-2024,58%
Gujarat,12%,Thali,1%,02-05-2024,61%
Bihar,12%,Barfi,1%,03-05-2024,50%
Rajasthan,12%,Laddu,1%,04-05-2024,53%
Odisha,12%,Restaurant,1%,05-05-2024,51%
Sikkim,10%,,,06-05-2024,49%
Manipur,10%,,,07-05-2024,49%
Pudcherry,7%,,,08-05-2024,53%
Meghalaya,7%,,,09-05-2024,59%
Assam,6%,,,10-05-2024,52%
Andhra Pradesh,5%,,,11-05-2024,66%
Tripura,5%,,,12-05-2024,100%
Tamil Nadu,4%,,,13-05-2024,53%
Kerala,4%,,,14-05-2024,47%
Arunchal Pradesh,4%,,,15-05-2024,44%
Nagaland,3%,,,16-05-2024,46%
Mizoram ,3%,,,17-05-2024,44%
,,,,18-05-2024,44%
,,,,19-05-2024,46%
,,,,20-05-2024,44%
,,,,21-05-2024,43%
,,,,22-05-2024,46%
,,,,23-05-2024,46%
,,,,24-05-2024,40%
,,,,25-05-2024,41%
,,,,26-05-2024,41%
,,,,27-05-2024,40%
,,,,28-05-2024,40%
,,,,29-05-2024,41%
,,,,30-05-2024,41%
,,,,31-05-2024,60%
,,,,01-06-2024,52%
,,,,02-06-2024,41%
,,,,03-06-2024,54%
,,,,04-06-2024,44%
,,,,05-06-2024,43%
