Brand,Amazon,Flipkart,BigBasket,Zepto,Swiggy Instamart,Own Website,Total Platforms,Distribution Reach
Bikaji Foods,yes,yes,yes,yes,yes,yes,6,High
Bikanervala (Bikano),yes,yes,yes,yes,yes,yes,6,High
Gopal Snacks,yes,yes,no,no,yes,yes,2,Medium
G Pulla Reddy,yes,yes,yes,no,yes,yes,5,High
Haldiram's,yes,yes,yes,yes,yes,yes,6,High
Balaji Wafers,yes,yes,no,yes,yes,yes,5,High
ITC,yes,yes,yes,yes,yes,yes,6,High
Chhappan Bhog,yes,yes,yes,no,yes,yes,5,High
Tata Sampann,yes,yes,yes,yes,yes,yes,6,High
Mrs. Bectors Food (Cremica & English Oven),yes,yes,yes,no,yes,yes,4,Medium
Britannia Industries,yes,yes,yes,yes,yes,yes,6,High
Prataap Snacks,yes,yes,no,no,yes,yes,2,Medium
Chitale Bandhu,yes,yes,yes,no,yes,yes,5,High
Sri Krishna Sweets,yes,yes,no,no,yes,yes,4,Medium
MTR Foods,yes,yes,yes,yes,yes,yes,6,High
ITC Kitchens of India,yes,yes,yes,yes,yes,yes,6,High
Tasty Bite,yes,yes,yes,yes,yes,yes,6,High
Cornitos,yes,yes,yes,yes,yes,yes,6,High
ITC Foods (Sunfeast),yes,yes,yes,yes,yes,yes,6,High
Open Secret,yes,yes,yes,yes,yes,yes,6,High
Kaleva,yes,yes,no,no,yes,yes,1,Low
Chandu Halwai,yes,yes,no,no,yes,yes,1,Low
Mithaas,yes,yes,no,no,yes,yes,1,Low
Tewari Bros,yes,yes,no,no,yes,yes,1,Low
Gits,yes,yes,yes,yes,yes,yes,6,High
Kohinoor Xpress Eats,yes,yes,yes,yes,yes,yes,6,High
Coca-Cola,yes,yes,yes,yes,yes,yes,6,High
Varun Beverages,yes,yes,yes,yes,yes,yes,6,High
Lay's (PepsiCo),yes,yes,yes,yes,yes,yes,6,High
Karachi Bakery,yes,yes,yes,no,yes,yes,4,Medium
Modern Foods,no,no,yes,no,no,yes,4,Medium
Mrs. Bectors Cremica,no,no,yes,no,no,yes,4,Medium
Daily Bread (Spencer’s),no,no,yes,no,no,yes,4,Medium
