KPI21,Competitor Product Range Depth (in Key Category),,,,,
Name,Number and Variety of Images,Image Quality,Description Detail,Nutritional Info,Rich Content,Overall Rating
Haldiram's Nagmpur Moong Dal,4,5,3,5,1,3.6
Haldiram's Nagpur All in One,3,5,3,5,1,3.4
Haldiram's Nagpur Aloo Bhujia 200g,1,3,3,3,1,2.2
Haldiram's Nagpur Aloo Bhujia 350g + 50g,2,3,3,5,1,2.8
Haldiram's Nagpur Bhujia Sev,2,4,4,3,1,2.8
Haldiram's Nagpur chatpata Dal,5,5,3,5,1,3.8
Haldiram's Nagpur Khari Boondhi,1,1,1,1,1,1
Haldiram's Nagpur Mathri,3,5,3,5,1,3.4
Haldiram's Nagpur Mini Bhakarwadi,1,3,2,3,1,2
Haldiram's Nagpur Mixture,4,5,3,5,1,3.6
Haldiram's Nagpur Orange Burfee,5,4,4,5,1,3.8
Haldiram's Nagpur Ratlami Sev,5,5,2,5,1,3.6
Haldiram's Nagpur Tasty Whole Nuts,1,4,3,3,1,2.4
Haldiram's Panchrattan,5,5,2,5,1,3.6
Haldiram's Snack Pack,5,5,4,5,1,4
