Competitor,Location,Expansion Type,Date,Status,Source
Bikano,"Greater Noida, UP",Manufacturing Facility,2024-10-01,Operational,Manufacturing Plant India
Bikano,"Southern India (TN, KL)",Market Expansion,2024-04-01,Planned,BW Retail World
Bikaji,"Aliganj, Lucknow",Retail Outlet,2024-10-01,Confirmed,Instagram
Bikaji,"Khar, Mumbai",Retail Outlet,2024-04-01,Confirmed,Indian Retailer
Bikanervala,Delhi-Mumbai Expressway,Restaurant Outlets (2),2024-06-01,Confirmed,Financial Express
Bikanervala,"Indore, Madhya Pradesh",Restaurant Outlet,2024-12-01,Confirmed,Facebook
Bikanervala,USA,International Expansion,2025-01-01,Planned,Facebook
Prataap Snacks,Jammu & Kashmir,Manufacturing Unit,2024-03-01,Operational,News on Projects
Prataap Snacks,"Jamnagar, Gujarat",Manufacturing Unit,2024-03-01,Operational,MarketScreener
Gopal Snacks,National (India),Public Listing (IPO),2024-03-01,Completed,Angel One
