Brand,Amazon,Flipkart,BigBasket,Zepto,Blinkit Presence,Swiggy Instamart,Own Website
Bikaji Foods,1,1,1,1,1,1,1
Bikanervala (Bikano),1,1,1,1,1,1,1
Gopal Snacks,1,1,0,0,1,1,1
G Pulla Reddy,1,1,1,0,0,1,1
Balaji Wafers,1,1,0,1,1,1,1
ITC,1,1,1,1,1,1,1
Chhappan Bhog,1,1,1,0,0,1,1
Tata Sampann,1,1,1,1,1,1,1
Mrs. Bectors Food (Cremica & English Oven),1,1,1,0,1,1,1
Britannia Industries,1,1,1,1,1,1,1
Prataap Snacks,1,1,0,0,1,1,1
Chitale Bandhu,1,1,1,0,1,1,1
Sri Krishna Sweets,1,1,0,0,1,1,1
MTR Foods,1,1,1,1,1,1,1
ITC Kitchens of India,1,1,1,1,1,1,1
Tasty Bite,1,1,1,1,1,1,1
Cornitos,1,1,1,1,1,1,1
ITC Foods (Sunfeast),1,1,1,1,1,1,1
Open Secret,1,1,1,1,1,1,1
Kaleva,1,1,0,0,0,1,1
Chandu Halwai,1,1,0,0,0,1,1
Mithaas,1,1,0,0,0,1,1
Tewari Bros,1,1,0,0,0,1,1
Gits,1,1,1,1,1,1,1
Kohinoor Xpress Eats,1,1,1,1,1,1,1
Coca-Cola,1,1,1,1,1,1,1
Varun Beverages,1,1,1,1,1,1,1
Lay's (PepsiCo),1,1,1,1,1,1,1
Karachi Bakery,1,1,1,0,1,1,1
Modern Foods,0,0,1,0,0,0,1
Mrs. Bectors Cremica,0,0,1,0,1,0,1
Daily Bread (Spencer’s),0,0,1,0,0,0,1
