Brand,Product,Size,Price (INR),Price per 100g (INR),E-commerce Platform,Pricing Tier
Bikano,Aloo Bhujia,400g,₹110,₹27.50,Zepto Now,Mid-Range
Bikaji,Aloo Bhujia,200g,₹75,₹37.50,Amazon India,Premium
Bikanervala,Aloo Bhujia,200g,₹50,₹25.00,Amazon India,Economy
Prataap Snacks,Aloo Bhujia,200g,₹65,₹32.50,Amazon India,Mid-Range
Gopal Snacks,Aloo Bhujia,200g,₹70,₹35.00,Amazon India,Mid-Range
Bikano,Ratlami Sev,200g,₹85,₹42.50,Zepto Now,Premium
Bikaji,Ratlami Sev,200g,₹75,₹37.50,Amazon India,Premium
Bikanervala,Ratlami Sev,200g,₹50,₹25.00,Amazon India,Economy
Prataap Snacks,Ratlami Sev,200g,₹65,₹32.50,Amazon India,Mid-Range
Gopal Snacks,Ratlami Sev,200g,₹70,₹35.00,Amazon India,Mid-Range
Bikano,Navratan Mix,200g,₹55,₹27.50,Zepto Now,Mid-Range
Bikaji,Navratan Mix,200g,₹75,₹37.50,Amazon India,Premium
Bikanervala,Navratan Mix,200g,₹50,₹25.00,Amazon India,Economy
Prataap Snacks,Navratan Mix,200g,₹65,₹32.50,Amazon India,Mid-Range
Gopal Snacks,Navratan Mix,200g,₹70,₹35.00,Amazon India,Mid-Range
Bikano,Masala Peanuts,200g,₹85,₹42.50,Zepto Now,Premium
Bikaji,Masala Peanuts,200g,₹75,₹37.50,Amazon India,Premium
Bikanervala,Masala Peanuts,200g,₹50,₹25.00,Amazon India,Economy
Prataap Snacks,Masala Peanuts,200g,₹65,₹32.50,Amazon India,Mid-Range
Gopal Snacks,Masala Peanuts,200g,₹70,₹35.00,Amazon India,Mid-Range
Bikano,Bikaneri Bhujia,200g,₹85,₹42.50,Zepto Now,Premium
Bikaji,Bhujia Snack,200g,₹75,₹37.50,Amazon India,Premium
Bikanervala,Bikaneri Bhujia,200g,₹50,₹25.00,Bikanervala Online,Economy
Prataap Snacks,Bhujia Sev,200g,₹65,₹32.50,Amazon India,Mid-Range
Gopal Snacks,Bhujia Sev,200g,₹70,₹35.00,Amazon India,Mid-Range
Bikano,Moong Dal,200g,₹70,₹35.00,Zepto Now,Mid-Range
Bikaji,Moong Dal,200g,₹65,₹32.50,Amazon India,Mid-Range
Bikanervala,Moong Dal,200g,₹45,₹22.50,Amazon India,Economy
Prataap Snacks,Moong Dal,200g,₹60,₹30.00,Amazon India,Mid-Range
Gopal Snacks,Moong Dal,200g,₹55,₹27.50,Amazon India,Mid-Range
Bikano,Khatta Meetha,200g,₹70,₹35.00,Zepto Now,Mid-Range
Bikaji,Khatta Meetha,200g,₹65,₹32.50,Amazon India,Mid-Range
Bikanervala,Khatta Meetha,200g,₹45,₹22.50,Amazon India,Economy
Prataap Snacks,Khatta Meetha,200g,₹60,₹30.00,Amazon India,Mid-Range
Gopal Snacks,Khatta Meetha,200g,₹55,₹27.50,Amazon India,Mid-Range
Bikano,Bhel Puri,200g,₹75,₹37.50,Zepto Now,Premium
Bikaji,Bhel Puri,200g,₹70,₹35.00,Amazon India,Mid-Range
Bikanervala,Bhel Puri,200g,₹50,₹25.00,Amazon India,Economy
Prataap Snacks,Bhel Puri,200g,₹65,₹32.50,Amazon India,Mid-Range
Gopal Snacks,Bhel Puri,200g,₹60,₹30.00,Amazon India,Mid-Range
Bikano,Boondi,200g,₹70,₹35.00,Zepto Now,Mid-Range
Bikaji,Boondi,200g,₹65,₹32.50,Amazon India,Mid-Range
Bikanervala,Boondi,200g,₹45,₹22.50,Amazon India,Economy
Prataap Snacks,Boondi,200g,₹60,₹30.00,Amazon India,Mid-Range
Gopal Snacks,Boondi,200g,₹55,₹27.50,Amazon India,Mid-Range
Bikano,Mathri,200g,₹75,₹37.50,Zepto Now,Premium
Bikaji,Mathri,200g,₹70,₹35.00,Amazon India,Mid-Range
Bikanervala,Mathri,200g,₹50,₹25.00,Amazon India,Economy
Prataap Snacks,Mathri,200g,₹65,₹32.50,Amazon India,Mid-Range
Gopal Snacks,Mathri,200g,₹60,₹30.00,Amazon India,Mid-Range
Bikano,Chana Jor Garam,200g,₹70,₹35.00,Zepto Now,Mid-Range
Bikaji,Chana Jor Garam,200g,₹65,₹32.50,Amazon India,Mid-Range
Bikanervala,Chana Jor Garam,200g,₹45,₹22.50,Amazon India,Economy
Prataap Snacks,Chana Jor Garam,200g,₹60,₹30.00,Amazon India,Mid-Range
Gopal Snacks,Chana Jor Garam,200g,₹55,₹27.50,Amazon India,Mid-Range
Bikano,Cornflakes Mixture,200g,₹75,₹37.50,Zepto Now,Premium
Bikaji,Cornflakes Mixture,200g,₹70,₹35.00,Amazon India,Mid-Range
Bikanervala,Cornflakes Mixture,200g,₹50,₹25.00,Amazon India,Economy
Prataap Snacks,Cornflakes Mixture,200g,₹65,₹32.50,Amazon India,Mid-Range
Gopal Snacks,Cornflakes Mixture,200g,₹60,₹30.00,Amazon India,Mid-Range
Bikano,Gathiya,200g,₹70,₹35.00,Zepto Now,Mid-Range
Bikaji,Gathiya,200g,₹65,₹32.50,Amazon India,Mid-Range
Bikanervala,Gathiya,200g,₹45,₹22.50,Amazon India,Economy
Prataap Snacks,Gathiya,200g,₹60,₹30.00,Amazon India,Mid-Range
Gopal Snacks,Gathiya,200g,₹55,₹27.50,Amazon India,Mid-Range
Bikano,Punjabi Tadka,200g,₹75,₹37.50,Zepto Now,Premium
Bikaji,Punjabi Tadka,200g,₹70,₹35.00,,
