Brand,Title / Headline,Summary,Date,Source URL
Bikaji,Bikaji Foods launches “Bikaji Khao London Jao” campaign,"Bikaji Foods International launched a nationwide consumer promotion called 'Bikaji Khao London Jao', offering assured gifts (vouchers, electronics, scooters, etc.) for every purchase and a grand prize trip to London. The 360° campaign (TV, print, digital, in-store) aims to reward customers and boost brand engagement with attractive prizes.",2024-09-20,globalnewsmakers.com
Bikaji,Bikaji Foods USA receives additional ₹5 lakh investment,"Bikaji Foods International said it has increased its investment in its wholly owned US arm (Bikaji USA) by ₹5 lakh (about $6,000), bringing total equity to $1.5 m. The move is part of Bikaji’s strategy to build its US market presence; Bikaji USA (incorporated Jul 2023) had sales of ₹8.65 cr in its first year, and the extra funding will support expansion of distribution in the US.",2024-11-21,entrepreneur.com
Bikaji,Bikaji Foods Q1 profit jumps ~84-fold YoY,"Bikaji Foods International reported a staggering Q1 FY2024 leap: revenue up 2786.8% YoY and net profit up 8394.9% YoY. The June 2024 quarter saw EPS of ₹2.34 (a 3800% rise), driven by much higher sales volumes as Bikaji scaled up operations from a low base.",2024-07-25,livemint.com
Bikaji,Bikaji Foods to buy majority stake in The Hazelnut Factory,"Bikaji Foods agreed to acquire 53.02% of The Hazelnut Factory (a Lucknow-based café and artisanal sweets maker) for ₹131 cr, to be paid over two years. This strategic move will diversify Bikaji’s offerings into premium bakery and café segments. By integrating THF’s boutiques and products, Bikaji aims to expand beyond ethnic snacks into the QSR and patisserie space.",2024-10-17,just-food.com
Bikaji,Bikaji says 'not for sale' amid investor interest,"Bikaji Foods COO stated the company is “not for sale,” even as global investors eye the booming snack sector. With a market value around $2.55 bn, Bikaji is instead pursuing growth (it recently acquired stakes in Bhujialalji and Ariba Foods). This comes amid talks of acquisitions in the industry (e.g. Haldiram’s entry) but Bikaji’s management emphasized continued independent expansion plans.",2024-08-28,reuters.com
Bikanervala,Bikanervala to expand business in UK,"Bikanervala has partnered with UK-based The Montana Group to launch into the UK market. In India, it opened a new outlet in Sri Ganganagar and plans to add 25 more outlets between 2025 and 2026. These expansion moves aim to increase Bikanervala’s global footprint and capitalize on its brand appeal in both domestic and international markets.",2025-03-21,economictimes.indiatimes.com
Bikanervala,Bikanervala Foods invests US$9.18M to launch new manufacturing facility,"Bikanervala Foods announced an AED 33.7 million (US$9.18m) investment to set up a 161,000+ sq.ft. manufacturing plant in Dubai’s National Industries Park, revealed at Gulfood 2025. The facility (operational late 2026) will initially produce ~1,300 tonnes/month of snacks (planned to double by 2030), with an effluent treatment plant and significant solar installation for sustainability. It will serve Bikanervala’s restaurants, cloud kitchens and retail distribution in the Middle East and beyond.",2025-02-21,foodbusinessafrica.com
Bikanervala,Bikanervala to add 50 outlets in 2024,"Bikanervala announced it would open 50 new outlets across India in 2024, signaling an aggressive expansion strategy. Recently it launched two drive-thru restaurants on the Delhi-Mumbai Expressway (each ~4,000 sq.ft), reflecting a push into larger-format dining. MD Shyam Sundar Aggarwal noted that while expanding rapidly, the brand remains committed to its culinary heritage and quality.",2024-06-18,financialexpress.com
Gopal Snacks,Gopal Snacks shares tumble 10% after fire at Rajkot plant,"Shares of Gopal Snacks Ltd (makers of Namkeen) fell roughly 10% after a fire broke out at its Rajkot (Gujarat) production facility in December 2024. The company reported no injuries; operations are temporarily disrupted while the damage is assessed. Investors reacted to the incident, although management expects a return to normal once repairs are done.",2024-12-12,economictimes.indiatimes.com
Gopal Snacks,Gopal Snacks IPO subscribed 9.02x in Mar\u201924,"Gopal Snacks (Kansar Foods) raised up to ₹650 crore in its March 2024 IPO, pricing shares at ₹381-401 each. The issue was heavily oversubscribed 9.02 times, receiving bids for ~10.8 lakh shares against ~1.2 lakh offered. The funds were raised via selling shareholders (no fresh issue), showcasing strong investor interest in the Indian snacks market.",2024-03-11,business-standard.com
