Company,Use (Yes/No),Name of Influencer,Instagram Handle,Influencer Type
Bikano,No,,,
Bikaji,Yes,STARSTUD Jaipur,@starstud_jaipur,Macro influencer
Bikaji,Yes,Harshit Khandal,@jaipurfood,Micro influencer
Bikaji,Yes,Nishu Tiwari,@inishutiwari,Macro influencer
Bikaji,Yes,Pavni Mehrotra,@pavilaughs,Micro influencer
Bikaji,Yes,Vaishali Mishra,@vaishali_and_anand,Micro influencer
Bikaji,Yes,Mahi Dhaka,@mahi_d045,Micro influencer
Bikanervala,No,,,
Prataap Snacks/Yellow Diamond,Yes,Pratham Singh,@the.pratham.singh,Micro influencer
Prataap Snacks/Yellow Diamond,Yes,Om Gagan,@om.gangan,Micro influencer
Gopal Namkeen,No,,,
