Name,No. of Reviews
Haldiram's Aloo Bhujia,3066
Haldiram's Bhujia Sev,4570
Haldiram's Boondi,307
Haldiram's Khatta Meetha,782
Haldiram's Lite Chiwda,238
Haldiram's Mixture,377
Haldiram's Moong Dal,1749
Haldiram's Moong Dal Party Snacks,64
Haldiram's Nagmpur Moong Dal,3200
Haldiram's Nagpur All in one,155
Haldiram's Nagpur All in One,1700
Haldiram's Nagpur All in one (Pack of 4),1064
Haldiram's Nagpur Aloo Bhujia 200g,1100
Haldiram's Nagpur Aloo Bhujia 350g + 50g,16600
Haldiram's Nagpur Bhujia Sev,3200
Haldiram's Nagpur chatpata Dal,621
Haldiram's Nagpur Khari Boondhi,2900
Haldiram's Nagpur Khatta Meetha,4100
Haldiram's Nagpur Mini Bhakarwadi,1500
Haldiram's Nagpur Orange Burfee,629
Haldiram's Nagpur Ratlami Sev,2700
Haldiram's Nagpur Tasty Whole Nuts,532
Haldiram's Nagpur Whole Tasty Nuts,4800
Haldiram's Panchratan Mixture,174
Haldiram's Panchrattan,1900
Haldiram's Rasgulla Tin ,4388
Haldiram's Ratlami Sev,226
Haldiram's Snack Pack,2300
Haldiram's Soan Papdi,445
Haldiram's Soya Sticks,410
