Location,Shop name,No. of Reviews
Ambernath,Haldiram's Restaurant,1671
Andheri (East),Haldiram's - The Railway Coach Restaurant,1962
Andheri (West),Haldiram's - Infiniti Mall,718
Andheri (West),Haldiram's Restaurant,2167
Bandra Kurla Complex,Haldiram's Restaurant,738
Chakala,Haldiram's Restaurant,895
Ghansoli,Haldiram's Restaurant,458
Kalyan,Haldiram's Restaurant,3392
Kalyan (East) ,Haldiram's Restaurant,1000
Kurla,Haldiram's - The Railway Coach Restaurant,1344
Kurla,Haldiram's Restaurant,5642
Kurla (East),Haldiram's-East Point Mall,176
Kurla (West),Haldiram's,2678
Kurla (West),Haldiram's Restaurant,1000
Malad (West),Haldiram's,2232
Santacruz (West),Haldiram's,84
Santacruz (West),Haldiram's Restaurant,1545
Seawoods,Haldiram's Restaurant,3000
Thane,Haldiram's Sweets and Namkeen,2000
Vashi,Haldiram's Restaurant,3000
Vikhroli (West),Haldiram's - Powai (Cloud Kitchen),144
Vile Parle (East),Haldiram's,809
Virar,Haldiram's Restaurant,1000
