Month,Year,Haldiram's,Bikaji,Balaji Wafers,Bikanevala,Prabhuji Haldiram,Too Yumm!,Yellow Diamond,Kaleva,Ramdev,Gopal Snacks,, then compare.,,,
Jan,2023,85,60,40,30,20,35,28,22,15,18,,Brand,Prior 12M Slope (P12M) (Hypothetical),Last 12M Slope (L12M) (Hypothetical),Trend Velocity Assessment (Hypothetical)
Feb,2023,86,61,41,31,21,37,29,23,16,19,,Haldiram's,0.42,0.33,Stable (Slightly Decelerating Growth)
Mar,2023,85,62,40,30,20,39,28,22,15,18,,Bikaji,0.42,0.42,Stable
Apr,2023,87,60,42,32,21,41,30,24,17,20,,Balaji Wafers,0.42,0.42,Stable
May,2023,88,63,43,33,22,43,31,25,18,21,,Bikanevala,0.42,0.42,Stable
Jun,2023,86,62,41,31,21,45,29,23,16,19,,Prabhuji Haldiram,0.33,0.42,Accelerating
Jul,2023,89,64,44,34,23,47,32,26,19,22,,Too Yumm!,1.42,2.08,Accelerating
Aug,2023,90,65,45,35,24,49,33,27,20,23,,Yellow Diamond,0.42,0.42,Stable
Sep,2023,88,63,43,33,22,51,31,25,18,21,,Kaleva,0.42,0.42,Stable
Oct,2023,92,67,47,37,26,53,35,29,22,25,,Ramdev,0.42,0.42,Stable
Nov,2023,91,66,46,36,25,52,34,28,21,24,,Gopal Snacks,0.42,0.42,Stable
Dec,2023,90,65,45,35,24,50,33,27,20,23,,,,,
Jan,2024,91,68,48,38,27,55,36,30,23,26,,,,,
Feb,2024,92,69,49,39,28,57,37,31,24,27,,,,,
Mar,2024,91,68,48,38,27,59,36,30,23,26,,,,,
Apr,2024,93,70,50,40,29,62,38,32,25,28,,,,,
May,2024,94,71,51,41,30,65,39,33,26,29,,,,,
Jun,2024,92,69,49,39,28,68,37,31,24,27,,,,,
Jul,2024,95,72,52,42,31,71,40,34,27,30,,,,,
Aug,2024,96,73,53,43,32,74,41,35,28,31,,,,,
Sep,2024,94,71,51,41,30,77,39,33,26,29,,,,,
Oct,2024,97,75,55,45,34,80,43,37,30,33,,,,,
Nov,2024,96,74,54,44,33,78,42,36,29,32,,,,,
Dec,2024,95,73,53,43,32,75,41,35,28,31,,,,,
