Date,Source Type,Source Name,Headline/Content Snippet,Regulation/Event Title,Stakeholder Type,Sentiment,Sentiment Score,Link/Reference
23-08-2006,Official,FSSAI,"""FSSAI issues guidelines on food recall procedures""",Recall Guidelines and Product Withdrawal Procedures,Industry,Neutral,0,Link
01-01-2017,Official,FSSAI,"""FSSAI notifies Food Safety and Standards (Organic Foods) Regulations,2017""",Standardization of Organic Food Certification,Industry,Neutral,0,Link
01-01-2017,Official,FSSAI,"""FSSAI introduces Participatory Guarantee System (PGS) for organic certification""",Standardization of Organic Food Certification,Industry,Neutral,0,Link
09-08-2018,Official,FSSAI,"""Food Safety and Standards (Fortification of Foods) Regulations, 2018""","Food Fortification Regulations, 2018",Regulatory Body,Neutral,0,Link
14-01-2020,Official,FSSAI,"""Standardized Street Food Cart under 'Clean Street Food Hub' initiative""",Clean Street Food Hub Initiative,Regulatory Body,Neutral,0,Link
09-08-2020,News,Times of India,"""No sale of junk food within 50 metres of school campus: FSSAI""",Ban on Sale of Junk Food in School Vicinity,Public,Positive,1,Link
11-08-2020,News,India Today,"""FSSAI bans sale and advertising of junk food in and around 50 metres of school premises""",Ban on Sale of Junk Food in School Vicinity,Public,Positive,1,Link
08-09-2020,News,Business Standard,"""FSSAI bans sales, junk foods ads in school canteens, within 50 m of campus""",Ban on Sale of Junk Food in School Vicinity,Public,Positive,1,Link
03-11-2020,News,The Hindu Business Line,"""FSSAI launches new guidelines for food fortification""","Food Fortification Regulations, 2018",Industry,Positive,1,Link
05-11-2020,News,Times of India,"""FSSAI proposes ban on sale, ads of junk foods in school canteens, within 50m of campus""",Online Food Aggregator Licensing and Hygiene Audits,Industry,Neutral,0,Link
19-01-2022,News,Business Standard,"""FSSAI strengthens food fortification norms to address nutritional deficiencies""","Food Fortification Regulations, 2018",Regulatory Body,Positive,1,Link
17-09-2022,Official,FSSAI,"""FSSAI sets new safety standards for non-alcoholic beverages including soft drinks""",Food Safety and Standards for Non-Alcoholic Beverages,Regulatory Body,Positive,1,Link
20-12-2022,Official,FSSAI,"""Food Safety and Standards Regulation, 2011""","Food Safety and Standards Regulations, 2011",Regulatory Body,Neutral,0,Link
20-12-2022,Official,FSSAI,"""Food Safety and Standards (Food Products Standards and Food Additives) Regulations, 2011""","Food Additives Regulations, 2022",Regulatory Body,Neutral,0,Link
19-02-2023,Official,FSSAI,"""FSSAI launches new sustainability standards for food packaging materials""",Sustainability Standards for Food Packaging,Regulatory Body,Positive,1,Link
10-03-2023,Official,FSSAI,"""FSSAI updates regulations for the importation of food products""",Regulation on Imported Food Products,Regulatory Body,Positive,1,Link
11-04-2023,Official,FSSAI,"""FSSAI sets guidelines for certifying traditional foods with geographic origin""",Certification for Traditional Foods,Regulatory Body,Positive,1,Link
02-05-2023,Official,FSSAI,"""FSSAI issues new gluten-free food guidelines to ensure food safety""",Regulation of Gluten-Free Foods,Regulatory Body,Positive,1,Link
10-05-2023,News,The Economic Times,"""FSSAI to boost hygiene in street food with new guidelines""",Clean Street Food Hub Initiative,Regulatory Body,Positive,1,Link
