Date,Source Type,Source Name/URL,Ingredient Mentioned,Mention Summary,Sentiment (Manual/Auto),Sentiment Score (if auto),Notes
15-07-2023,Activist/NGO Site,Greenpeace India (https://www.greenpeace.org/india/en/),Palm Oil,"Report criticizes Indian snack brands, including Haldiram�s, for not committing to 100% RSPO-certified palm oil.",Manual: Negative,N/A,General critique of FMCG sector; Haldiram�s not singled out but named.
08-09-2023,Activist/NGO Site,Fairtrade India (https://www.fairtradeindia.org/),Cocoa,"Mentions concerns about child labor in cocoa supply chains for Indian sweets manufacturers, including Haldiram�s.",Manual: Negative,N/A,Industry-wide issue; Haldiram�s mentioned among others.
20-11-2023,News,The Financial Express (https://www.financialexpress.com/healthcare-news/),Palm Oil,"Notes palm oil use in Haldiram�s snacks, among other brands, without discussing ethical sourcing.",Manual: Neutral,N/A,"Factual mention of ingredient use, no ethical focus."
10-03-2024,Activist/NGO Site,Rainforest Foundation (https://www.rainforestfoundation.org/),Palm Oil,"Highlights deforestation risks in palm oil supply chains for Indian FMCG brands, naming Haldiram�s.",Manual: Negative,N/A,Focus on environmental impact; calls for better transparency.
30-04-2024,News,Hindustan Times,Spices,FSSAI announced plans to check the quality of spices and herbs this year following international bans on certain Indian spice products due to contamination concerns.,Neutral,0,Indicates regulatory response to spice safety concerns.
04-05-2024,News,Business Standard,Spices,"FSSAI relaxed pesticide norms in April, allowing 10 times more residue in spices, raising health concerns among activists.",Negative,-0.7,Regulatory changes may impact perceptions of spice safety.
04-05-2024,News,Business Standard,Spices,"FSSAI relaxed pesticide norms, allowing higher residue in spices, raising health concerns.",Negative,-0.7,Regulatory changes may impact perceptions of spice safety.
05-05-2024,News,India Today,Spices,"FSSAI denied claims of high pesticide residue in Indian herbs and spices, asserting that India maintains stringent standards for pesticide residues.",Neutral,0,Official stance on pesticide residue levels in spices.
23-05-2024,News,The New Indian Express,Spices,Survey indicates a dip in domestic consumption of popular spice brands due to safety concerns.,Negative,-0.6,Reflects consumer concerns; Haldiram not directly mentioned.
25-05-2024,News,The Hindu BusinessLine,Spices,Emphasis on procuring agricultural produce directly from accredited farmers to ensure quality in spices.,Positive,0.75,Highlights the need for stringent regulations and quality control measures.
10-06-2024,News,The Times of India,Spices,Reports indicate that masala mixes from leading brands were found adulterated with poisonous insecticides in Rajasthan.,Negative,-0.65,Highlights concerns over pesticide contamination in spices.
15-06-2024,News,LiveMint (https://www.livemint.com/),Cocoa,"Discusses Haldiram�s use of cocoa in sweets like chocolate burfi, no mention of sourcing ethics.",Manual: Neutral,N/A,"Product-focused article, no sustainability discussion."
25-06-2024,News,The Week,Palm Oil,Seminar discusses sustainable palm oil production and aims to curb misinformation.,Positive,0.7,Highlights efforts to promote sustainability; Haldiram not specified.
29-06-2024,News,IBG News,Palm Oil,"Conference in Indore addresses health and nutrition perceptions of palm oil, promoting sustainable practices.",Positive,0.75,Focus on changing public perception; no direct mention of Haldiram.
29-07-2024,News,The Times of India,Spices,"16 more spice companies are under scrutiny as pesticides and insects were found in their products, raising food safety concerns.",Negative,-0.6,Ongoing issues with spice contamination affecting multiple brands.
10-08-2024,News,Livemint,Spices,"Branded spices market in India is expected to double by 2025, driven by demand for spice mixes.",Positive,0.8,Indicates growth opportunities; ethical sourcing practices become crucial.
20-08-2024,Activist/NGO Site,Ethical Consumer Network (https://www.ethicalconsumer.org/),Cashews,"Raises concerns about labor conditions (low wages, unsafe work) in cashew processing, names Haldiram�s.",Manual: Negative,N/A,Industry issue but Haldiram�s cited as major buyer.
17-10-2024,News,afaqs,Hazelnuts,Haldiram collaborates with Turkish Hazelnut Exporters Associations to introduce premium hazelnut-based sweets.,Positive,0.85,Highlights Haldiram's initiative in sourcing quality ingredients.
18-10-2024,News,Indian Retailer,Hazelnuts,Launch of eight premium hazelnut-based sweets by Haldiram's in collaboration with Turkish Hazelnut.,Positive,0.8,Focuses on the festive season launch and product details.
21-10-2024,News,The Hindu BusinessLine,Palm Oil,IDH launches India Sustainable Palm Oil Manifesto to promote responsible sourcing in Indian markets.,Positive,0.8,Industry-wide initiative; Haldiram's participation not specified.
22-10-2024,News,Agro Spectrum India,Palm Oil,IDH launches India Sustainable Palm Oil Manifesto to promote responsible sourcing in Indian markets.,Positive,0.8,Industry-wide initiative; Haldiram's participation not specified.
22-10-2024,News,The CSR Universe,Palm Oil,IDH's manifesto aims to catalyse sustainable sourcing for palm oil production in India.,Positive,0.8,Emphasizes industry collaboration; Haldiram's involvement not mentioned.
22-10-2024,News,IDH,Palm Oil,"IDH launches Sustainable Palm Oil Manifesto at Sutra 2024, promoting responsible sourcing.",Positive,0.8,Industry-wide initiative; Haldiram's participation not specified.
22-10-2024,News,Agro Spectrum India,Palm Oil,IDH's summit emphasizes ethical and sustainable practices in palm oil sourcing.,Positive,0.8,Highlights industry efforts; Haldiram's involvement not mentioned.
22-10-2024,News,The CSR Universe,Palm Oil,Manifesto calls for increased commitment to sustainably sourced palm oil across all products.,Positive,0.8,Encourages industry-wide adoption; Haldiram's participation not specified.
22-10-2024,News,Adgully,Hazelnuts,"Turkish Hazelnut and Haldiram's unveil premium festive mithai, combining health benefits with traditional sweets.",Positive,0.8,Emphasizes the health aspects of the new product line.
22-10-2024,News,Sociapa News,Hazelnuts,"Haldiram's introduces premium hazelnut sweets in collaboration with Turkish Hazelnut, aiming for a healthier twist to traditional mithai.",Positive,0.8,Highlights the collaboration's goal to offer healthier sweet options.
22-10-2024,News,The CSR Universe,Palm Oil,IDH launches manifesto to catalyze sustainable sourcing for palm oil production in India.,Positive,0.8,Industry-wide initiative; Haldiram's participation not specified.
