Date,Platform,Source/URL,Brand Mentioned,Product Category,Health Claim,Scrutiny Type,Sentiment,Description,Severity Level
09-07-2015,News,AajTak,Haldiram,Packaged Snacks,Product Safety,Regulatory,Negative,Maharashtra government directed its health regulator to check samples of Haldiram's packaged snacks following concerns over product safety standards.,Medium
03-08-2015,News,Times of India,Haldiram,Packaged Snacks,Product Safety,Regulatory,Positive,"Maharashtra FDA found Haldiram snacks safe, with no traces of lead or bacteria, after conducting tests on various samples.",Low
16-05-2019,News,Times of India,Haldiram,Restaurant Food,Food Safety and Hygiene,Regulatory,Negative,The FDA sealed Haldiram's Ajni outlet kitchen in Nagpur after finding a dead lizard in the food and uncovering several shortcomings and non-compliances with safe food practice norms.,High
16-05-2019,News,Economic Times,Haldiram,Restaurant Food,Food Safety and Hygiene,Regulatory,Negative,"Following the discovery of a dead lizard in food at a Haldiram's outlet, the FDA shut down the establishment until compliance with food safety regulations was ensured.",High
16-05-2019,News,Retail Economic Times,Haldiram,Restaurant Food,Food Safety and Hygiene,Regulatory,Negative,"A customer found a dead lizard in food served at Haldiram's, leading to FDA intervention and highlighting lapses in food safety and hygiene practices.",High
21-05-2019,News,The Hindu BusinessLine,Haldiram,Restaurant Food,Food Contamination,Internal Review,Negative,"Haldiram's initiated an internal investigation after viral images showed a dead lizard in food served at one of its outlets, raising concerns about food contamination.",High
06-04-2021,News,NewsTrack,Haldiram,Packaged Snacks,Expiry Date Manipulation,Legal,Negative,"A trader was arrested for manipulating expiry dates on Haldiram food packages, erasing actual dates and reprinting new ones, leading to concerns about consumer safety and product authenticity.",High
17-11-2022,News,Economic Times,Haldiram,Packaged Snacks,Labeling Regulations,Industry Response,Neutral,"The Federation of Sweets & Namkeen Manufacturers, including Haldiram, expressed concerns that proposed front-of-pack labeling regulations could negatively impact the ethnic foods industry.",Medium
21-09-2023,News,Hindustan Times,Haldiram,Potato Chips,Supplier Fraud,Legal,Negative,"Haldiram's suppliers were booked in a cheating case for allegedly not returning raw materials worth ?34 lakh, leading to legal scrutiny over supplier practices.",High
18-03-2024,News,New Indian Express,Haldiram,Various,Product safety and compliance,Regulatory,Neutral,"While the article focuses on pharmaceutical companies, it raises broader concerns about product safety and compliance in the FMCG sector, indirectly prompting scrutiny of brands like Haldiram regarding their adherence to quality standards.",Medium
03-04-2024,News,The Hindu,Haldiram,Various,Brand authenticity and product quality,Legal,Positive,"The Delhi High Court declared 'Haldiram' as a well-known trademark, recognizing its deep roots in India's culinary tradition and its global influence, reinforcing consumer trust in the brand's authenticity and product quality.",Low
03-04-2024,News,India Legal,Haldiram,Various,Brand authenticity and product quality,Legal,Positive,"The Delhi High Court permanently restrained a Haryana-based entity from using marks similar to 'Haldiram', acknowledging the brand's well-known status and protecting its authenticity and product quality reputation.",Low
03-04-2024,Legal,SCC Times,Haldiram,Brand Recognition,Trademark Status,Legal,Positive,"The Delhi High Court declared 'HALDIRAM' as a well-known mark in respect of food items and restaurants, strengthening the brand's legal standing and consumer trust.",Low
03-04-2024,Legal,SCC Times,Haldiram,Brand Recognition,Trademark Status,Legal,Positive,"Delhi High Court declared 'HALDIRAM' and its oval-shaped mark as well-known trademarks, strengthening the brand's legal standing.",Low
04-04-2024,News,India TV News,Haldiram,Various,Brand Authenticity and Product Quality,Legal,Positive,"The Delhi High Court affirmed 'Haldiram' as a well-known trademark, reinforcing the brand's authenticity and commitment to product quality.",Low
04-04-2024,News,India TV News,Haldiram,Various,Brand Authenticity and Product Quality,Legal,Positive,"The Delhi High Court's decision to declare 'Haldiram' as a 'well-known' mark underscores the brand's significant cultural and commercial imprint, enhancing consumer trust.",Low
04-04-2024,News,India TV News,Haldiram,Various,Brand Authenticity and Product Quality,Legal,Positive,The recognition of 'Haldiram' as a well-known trademark by the Delhi High Court highlights the brand's prominence and commitment to maintaining high product standards.,Low
04-04-2024,News,India TV News,Haldiram,Various,Brand Authenticity and Product Quality,Legal,Positive,The Delhi High Court's affirmation of 'Haldiram' as a well-known trademark reflects the brand's dedication to quality and its established reputation in the market.,Low
04-04-2024,News,India TV News,Haldiram,Various,Brand Authenticity and Product Quality,Legal,Positive,The legal recognition of 'Haldiram' as a well-known trademark by the Delhi High Court enhances the brand's credibility and consumer confidence in its product offerings.,Low
04-04-2024,News,India TV News,Haldiram,Various,Brand Authenticity and Product Quality,Legal,Positive,The Delhi High Court's declaration of 'Haldiram' as a well-known trademark solidifies the brand's status and its association with quality products in the minds of consumers.,Low
04-04-2024,News,India TV News,Haldiram,Various,Brand Authenticity and Product Quality,Legal,Positive,The court's recognition of 'Haldiram' as a well-known trademark underscores the brand's longstanding commitment to quality and its significant presence in the food industry.,Low
06-04-2024,Social Media,Indian Express,Haldiram,Snacks,Ingredient transparency,Social Media,Negative,"A viral video accused Haldiram of using Urdu on packaging to obscure ingredient information, leading to social media backlash and raising questions about the brand's transparency in disclosing product contents.",Medium
20-04-2024,News,LiveLaw,Haldiram,Sweets,Freshness and quality,Legal,Negative,"The South-West Delhi Consumer Commission held Haldiram liable for selling stale sweets infected with fungus and failing to replace the items, constituting a deficiency in service and unfair trade practice.",High
